vertex_index;vertex_x;vertex_y;ldos
0;77.0;-55.42562584220407;5.092287522189861e-05
1;78.5;-52.82754963085076;0.000141902970399189
2;77.0;-53.6935750346352;5.0922875221898676e-05
3;75.5;-54.559600438419636;5.092287522189853e-05
4;74.0;-55.42562584220408;0.00014802100703971535
5;80.0;-50.22947341949744;0.0002373255073117091
6;78.5;-51.09549882328188;0.0001419029703991891
7;77.0;-51.96152422706632;2.28128195877312e-05
8;75.5;-52.827549630850754;0.00020369150088759443
9;74.0;-53.693575034635195;2.5304540271347354e-05
10;72.5;-54.55960043841963;0.00014802100703971522
11;71.0;-55.42562584220407;0.0002614764137269274
12;81.5;-47.63139720814412;0.00032696825290879245
13;80.0;-48.497422611928556;0.00023732550731170925
14;78.5;-49.363448015713;1.22015335281802e-05
15;77.0;-50.22947341949744;0.0002785087047519418
16;75.5;-51.09549882328187;9.01697692962078e-05
17;74.0;-51.96152422706631;8.540885806600239e-05
18;72.5;-52.82754963085075;0.0002957282194002267
19;71.0;-53.69357503463519;1.6030766133785574e-05
20;69.5;-54.55960043841963;0.00026147641372692724
21;68.0;-55.42562584220406;0.0003850583903301371
22;83.0;-45.03332099679081;0.00040614157279756264
23;81.5;-45.899346400575254;0.0003269682529087926
24;80.0;-46.76537180435969;7.165744423764274e-06
25;78.5;-47.63139720814413;0.00035715111128058967
26;77.0;-48.49742261192857;0.00017412150299371667
27;75.5;-49.363448015713004;5.173642474280259e-05
28;74.0;-50.229473419497445;0.0003510926954896853
29;72.5;-51.09549882328188;6.328296302461572e-05
30;71.0;-51.96152422706632;0.0001740527776221556
31;69.5;-52.82754963085076;0.0004069933526817107
32;68.0;-53.693575034635195;1.1920946726521782e-05
33;66.5;-54.559600438419636;0.00038505839033013684
34;65.0;-55.42562584220408;0.000517718543276356
35;84.5;-42.43524478543749;0.0004707426937376506
36;83.0;-43.30127018922193;0.00040614157279756274
37;81.5;-44.16729559300637;4.28776102596079e-06
38;80.0;-45.033320996790806;0.0004309424873534043
39;78.5;-45.89934640057525;0.0002631387239939871
40;77.0;-46.76537180435969;3.2523425635157e-05
41;75.5;-47.63139720814412;0.0004156833637111334
42;74.0;-48.49742261192856;0.0001332792671963581
43;72.5;-49.363448015713;0.00011626033809694018
44;71.0;-50.22947341949744;0.0004472364361253193
45;69.5;-51.09549882328188;4.87367334001283e-05
46;68.0;-51.96152422706631;0.0002796053467114704
47;66.5;-52.827549630850754;0.0005324822603863903
48;65.0;-53.693575034635195;9.800183812732724e-06
49;63.5;-54.55960043841963;0.0005177185432763557
50;62.0;-55.42562584220407;0.0006595649508121205
51;86.0;-39.837168574084174;0.0005144114540597757
52;84.5;-40.70319397786861;0.00047074269373765067
53;83.0;-41.56921938165305;2.3828588346406687e-06
54;81.5;-42.43524478543749;0.0004938904147382542
55;80.0;-43.301270189221924;0.00034925866233596306
56;78.5;-44.167295593006365;2.058984173091373e-05
57;77.0;-45.033320996790806;0.0004806829346404342
58;75.5;-45.89934640057524;0.0002156604759596367
59;74.0;-46.76537180435968;7.821015199256502e-05
60;72.5;-47.631397208144115;0.0004984981774739816
