edge_index;vertex_1_index;vertex_2_index;probabilitycurrent
0;0;2290;-2.2022885839210736e-11
1;0;2291;2.2022885839210736e-11
2;1;2291;-4.220776840211622e-10
3;1;2292;4.220776831612848e-10
4;2;2292;-4.175697364604204e-09
5;2;2293;4.17569736460423e-09
6;3;2293;-2.8282884093425794e-08
7;3;2294;2.8282884093426006e-08
8;4;2294;-1.468820005375586e-07
9;4;2295;1.4688200053755946e-07
10;5;2295;-6.213786814539442e-07
11;5;2296;6.213786240377616e-07
12;6;2296;-2.2223846662615377e-06
13;6;2297;2.2223846662615377e-06
14;7;2297;-6.88756829004953e-06
15;7;2298;6.88756829004953e-06
16;8;2298;-1.8816270126202498e-05
17;8;2299;1.8816270126202498e-05
18;9;2299;-4.5865728293393877e-05
19;9;2300;4.586572829441303e-05
20;10;2300;-0.0001006060183149542
21;10;2301;0.0001006060183149542
22;11;2301;-0.00019970373165604724
23;11;2302;0.00019970373165604377
24;12;2302;-0.00035985102020911694
25;12;2303;0.00035985102020911347
26;13;2303;-0.0005889770142675707
27;13;2304;0.0005889770138797212
28;14;2304;-0.0008737122153449489
29;14;2305;0.0008737122153449489
30;15;2305;-0.0011680156920470808
31;15;2306;0.0011680156920470808
32;16;2306;-0.001391853229854606
33;16;2307;0.001391853229854606
34;17;2307;-0.0014492369974016817
35;17;2308;0.001449236998019937
36;18;2308;-0.0012678622967714492
37;18;2309;0.0012678622967715047
38;19;2309;-0.0008476543812419579
39;19;2310;0.0008476543812419579
40;20;2310;-0.00029015418714256613
41;20;2311;0.0002901541871425384
42;21;2311;0.00022101535126167748
43;21;2312;-0.00022101535173146836
44;22;2312;0.0004956611236766745
45;22;2313;-0.0004956611236766641
46;23;2313;0.00043583486224125535
47;23;2314;-0.00043583486224126056
48;24;2314;9.715727413391051e-05
49;24;2315;-9.715727413392439e-05
50;25;2315;-0.00033475493622261987
51;25;2316;0.0003347549364358382
52;26;2316;-0.000645496008877755
53;26;2317;0.0006454960088777273
54;27;2317;-0.0007071734695554971
55;27;2318;0.000707173469555511
56;28;2318;-0.0005339880218664175
57;28;2319;0.0005339880218663967
58;29;2319;-0.00024963221628736265
59;29;2320;0.00024963221628736265
60;30;2290;2.2022885839210736e-11
61;30;2321;-4.2207765353223775e-10
62;30;2322;4.000547676930264e-10
63;31;2291;4.0005479818195416e-10
64;31;2322;-7.2671257624217524e-09
65;31;2323;6.867070964239881e-09
66;32;2292;3.753619681442945e-09
67;32;2323;-6.443327413697366e-08
68;32;2324;6.067965445553072e-08
69;33;2293;2.4107186728821378e-08
70;33;2324;-3.8972421052916456e-07
71;33;2325;3.65617023800347e-07
72;34;2294;1.1859911644413218e-07
73;34;2325;-1.7988324965381486e-06
74;34;2326;1.6802333800940156e-06
75;35;2295;4.7449668091638556e-07
76;35;2326;-6.723020306047245e-06
77;35;2327;6.24852362513087e-06
78;36;2296;1.6010060422237557e-06
79;36;2327;-2.1086171246850706e-05
80;36;2328;1.948516558827147e-05
81;37;2297;4.665183623788047e-06
82;37;2328;-5.678885532345692e-05
83;37;2329;5.2123671699668816e-05
84;38;2298;1.192870183615313e-05
85;38;2329;-0.00013331293430797128
86;38;2330;0.00012138423247181739
87;39;2299;2.7049458167191162e-05
88;39;2330;-0.0002753441374351018
89;39;2331;0.0002482946792679054
90;40;2300;5.4740290020541173e-05
91;40;2331;-0.0005026820993838041
92;40;2332;0.00044794180936328504
93;41;2301;9.909771334109304e-05
94;41;2332;-0.0008112082289894879
95;41;2333;0.000712110515648394
96;42;2302;0.0001601472885530697
97;42;2333;-0.0011506106197730487
98;42;2334;0.000990463331219979
99;43;2303;0.00022912599405845377
100;43;2334;-0.0014138265116167281
101;43;2335;0.0011847005175582848
102;44;2304;0.0002847352014652346
103;44;2335;-0.0014578223364843657
104;44;2336;0.0011730871350192074
105;45;2305;0.00029430347670211104
106;45;2336;-0.0011661803897057288
107;45;2337;0.0008718769130036108
108;46;2306;0.0002238375378074975
109;46;2337;-0.0005372082921323018
110;46;2338;0.0003133707543248043
111;47;2307;5.738376754704788e-05
112;47;2338;0.0002523624763414445
113;47;2339;-0.00030974624388843686
114;48;2308;-0.0001813747012484601
115;48;2339;0.0008718989603144767
116;48;2340;-0.000690524259066079
117;49;2309;-0.00042020791552953296
118;49;2340;0.000979772897289774
119;49;2341;-0.0005595649817602298
120;50;2310;-0.000557500194099371
121;50;2341;0.0004335375273650669
122;50;2342;0.00012396266673430495
123;51;2311;-0.0005111695384042263
124;51;2342;-0.0005644799496132488
125;51;2343;0.0010756494880174716
126;52;2312;-0.000274645771945207
127;52;2343;-0.0015207690060493944
128;52;2344;0.001795414777994532
129;53;2313;5.982626143540882e-05
130;53;2344;-0.0019218219085709032
131;53;2345;0.0018619956471354962
132;54;2314;0.00033867758810733097
133;54;2345;-0.0015665353764113543
134;54;2346;0.001227857788304032
135;55;2315;0.00043191221035655813
136;55;2346;-0.0007152038752504947
137;55;2347;0.0002832916648939643
138;56;2316;0.00031074107244191684
139;56;2347;8.25867622031018e-05
140;56;2348;-0.0003933278346485612
141;57;2317;6.16774606777698e-05
142;57;2348;0.0003724288263982125
143;57;2349;-0.00043410628707597765
144;58;2318;-0.00017318544768909344
145;58;2349;0.00010199608651462883
146;58;2350;7.118936117446462e-05
147;59;2319;-0.000284355805579041
148;59;2350;-0.0003839160678702491
149;59;2351;0.0006682718734493109
150;60;2320;-0.00024963221628736265
151;60;2351;-0.0006403640729503585
152;60;2352;0.0008899962892377211
153;61;2352;-0.0004613720959836948
154;61;2353;0.00046137209598368784
155;62;2321;4.2207765353223444e-10
156;62;2354;-4.1756970138244345e-09
157;62;2355;3.7536193602921504e-09
158;63;2322;6.867070994728779e-09
159;63;2355;-6.443327372875715e-08
160;63;2356;5.756620273402826e-08
161;64;2323;5.7566203172818434e-08
162;64;2356;-5.106455955889244e-07
163;64;2357;4.53079392416114e-07
164;65;2324;3.290445560736402e-07
165;65;2357;-2.7494278014693764e-06
166;65;2358;2.420383245395753e-06
167;66;2325;1.4332154727377813e-06
168;66;2358;-1.1233603042409119e-05
169;66;2359;9.800387569671798e-06
170;67;2326;5.042786925953189e-06
171;67;2359;-3.6895831940133217e-05
172;67;2360;3.185304501417997e-05
173;68;2327;1.4837647621721516e-05
174;68;2360;-0.00010075056527202204
175;68;2361;8.591291765030432e-05
176;69;2328;3.7303689735168535e-05
177;69;2361;-0.00023341912377261922
178;69;2362;0.00019611543335000363
179;70;2329;8.118926260830463e-05
180;70;2362;-0.00046400562716100713
181;70;2363;0.00038281636455262877
182;71;2330;0.00015395990496328352
183;71;2363;-0.0007943376035031147
184;71;2364;0.0006403776985398346
185;72;2331;0.0002543874201159056
186;72;2364;-0.0011657046070098903
187;72;2365;0.000911317186894009
188;73;2332;0.00036326641962620976
189;73;2365;-0.0014418802563725963
190;73;2366;0.0010786138367466225
191;74;2333;0.00043850010412467555
192;74;2366;-0.0014408843067749144
193;74;2367;0.0010023842026501972
194;75;2334;0.00042336318039673526
195;75;2367;-0.001030457593733658
196;75;2368;0.000607094413336895
197;76;2335;0.000273121818926067
198;76;2368;-0.0002534924969770924
199;76;2369;-1.96293219489746e-05
200;77;2336;-6.906745313228768e-06
201;77;2369;0.0006043398713599102
202;77;2370;-0.0005974331260501231
203;78;2337;-0.00033466862087130206
204;78;2370;0.0010989111594956608
205;78;2371;-0.0007642425385245288
206;79;2338;-0.000565733230666228
207;79;2371;0.0008764858710196312
208;79;2372;-0.00031075264035340666
209;80;2339;-0.0005621527164260884
210;80;2372;-4.314407373452733e-05
211;80;2373;0.0006052967901606296
212;81;2340;-0.0002892486382236831
213;81;2373;-0.0011744810235918188
214;81;2374;0.0014637296618154718
215;82;2341;0.0001260274543951578
216;82;2374;-0.0018153447303457318
217;82;2375;0.001689317275950536
218;83;2342;0.0004405172828789612
219;83;2375;-0.0015347131480641651
220;83;2376;0.0010941958651851935
221;84;2343;0.0004451195180319237
222;84;2376;-0.0005438972833722161
223;84;2377;9.877776534026467e-05
224;85;2344;0.00012640713057653075
225;85;2377;0.00040095659285245555
226;85;2378;-0.0005273637234285283
