energy;conductance
-0.035;0.584
-0.0348;0.586
-0.0346;0.588
-0.0344;0.589
-0.0342;0.591
-0.034;0.593
-0.0338;0.594
-0.0336;0.596
-0.0334;0.598
-0.0332;0.6
-0.033;0.601
-0.0328;0.603
-0.0326;0.605
-0.0324;0.607
-0.0322;0.609
-0.032;0.611
-0.0318;0.613
-0.0316;0.615
-0.0314;0.617
-0.0312;0.619
-0.031;0.621
-0.0308;0.623
-0.0306;0.626
-0.0304;0.628
-0.0302;0.63
-0.03;0.633
-0.0298;0.635
-0.0296;0.638
-0.0294;0.64
-0.0292;0.643
-0.029;0.645
-0.0288;0.648
-0.0286;0.651
-0.0284;0.654
-0.0282;0.657
-0.028;0.66
-0.0278;0.663
-0.0276;0.666
-0.0274;0.669
-0.0272;0.672
-0.027;0.676
-0.0268;0.679
-0.0266;0.683
-0.0264;0.687
-0.0262;0.691
-0.026;0.695
-0.0258;0.699
-0.0256;0.703
-0.0254;0.708
-0.0252;0.712
-0.025;0.717
-0.0248;0.722
-0.0246;0.727
-0.0244;0.732
-0.0242;0.738
-0.024;0.743
-0.0238;0.749
-0.0236;0.755
-0.0234;0.762
-0.0232;0.768
-0.023;0.775
-0.0228;0.782
-0.0226;0.79
-0.0224;0.798
-0.0222;0.806
-0.022;0.814
-0.0218;0.823
-0.0216;0.832
-0.0214;0.841
-0.0212;0.851
-0.021;0.861
-0.0208;0.872
-0.0206;0.883
-0.0204;0.894
-0.0202;0.906
-0.02;0.917
-0.0198;0.929
-0.0196;0.941
-0.0194;0.953
-0.0192;0.964
-0.019;0.975
-0.0188;0.984
-0.0186;0.992
-0.0184;0.997
-0.0182;1.0
-0.018;0.998
-0.0178;0.991
-0.0176;0.978
-0.0174;0.956
-0.0172;0.925
-0.017;0.883
-0.0168;0.829
-0.0166;0.764
-0.0164;0.689
-0.0162;0.606
-0.016;0.519
-0.0158;0.431
-0.0156;0.346
-0.0154;0.269
-0.0152;0.201
-0.015;0.144
-0.0148;0.098
-0.0146;0.062
-0.0144;0.036
-0.0142;0.018
-0.014;0.007
-0.0138;0.001
-0.0136;0.0
-0.0134;0.002
-0.0132;0.007
-0.013;0.013
-0.0128;0.021
-0.0126;0.03
-0.0124;0.039
-0.0122;0.049
-0.012;0.058
-0.0118;0.068
-0.0116;0.078
-0.0114;0.088
-0.0112;0.097
-0.011;0.106
-0.0108;0.115
-0.0106;0.124
-0.0104;0.132
-0.0102;0.14
-0.01;0.147
-0.0098;0.155
-0.0096;0.162
-0.0094;0.168
-0.0092;0.175
-0.009;0.181
-0.0088;0.187
-0.0086;0.193
-0.0084;0.198
-0.0082;0.204
-0.008;0.209
-0.0078;0.214
-0.0076;0.218
-0.0074;0.223
-0.0072;0.227
-0.007;0.231
-0.0068;0.235
-0.0066;0.239
-0.0064;0.243
-0.0062;0.247
-0.006;0.251
-0.0058;0.254
-0.0056;0.258
-0.0054;0.261
-0.0052;0.264
-0.005;0.268
-0.0048;0.271
-0.0046;0.275
-0.0044;0.278
-0.0042;0.282
-0.004;0.286
-0.0038;0.29
-0.0036;0.295
-0.0034;0.301
-0.0032;0.307
-0.003;0.314
-0.0028;0.323
-0.0026;0.335
-0.0024;0.352
-0.0022;0.375
-0.002;0.413
-0.0018;0.481
-0.0016;0.631
-0.0014;0.978
-0.0012;0.155
-0.001;0.009
-0.0008;0.059
-0.0006;0.093
-0.0004;0.113
-0.0002;0.127
0.0;0.052
0.0002;0.127
0.0004;0.113
0.0006;0.093
0.0008;0.059
0.001;0.009
0.0012;0.155
0.0014;0.978
0.0016;0.631
0.0018;0.481
0.002;0.413
0.0022;0.375
0.0024;0.352
0.0026;0.335
0.0028;0.323
0.003;0.314
0.0032;0.307
0.0034;0.301
0.0036;0.295
0.0038;0.29
0.004;0.286
0.0042;0.282
0.0044;0.278
0.0046;0.275
0.0048;0.271
0.005;0.268
0.0052;0.264
0.0054;0.261
0.0056;0.258
0.0058;0.254
0.006;0.251
0.0062;0.247
0.0064;0.243
0.0066;0.239
0.0068;0.235
0.007;0.231
0.0072;0.227
0.0074;0.223
0.0076;0.218
0.0078;0.214
0.008;0.209
0.0082;0.204
0.0084;0.198
