edge_index;vertex_1_index;vertex_2_index;probabilitycurrent
0;0;541;-0.00031582354624639465
1;0;542;0.00031582354624639465
2;1;542;-0.0011338549070652318
3;1;543;0.001133854907065232
4;2;543;-0.002752291595519119
5;2;544;0.0027522915955193695
6;3;544;-0.005294149462172104
7;3;545;0.005294149462172104
8;4;545;-0.008449343378134102
9;4;546;0.008449343378134102
10;5;546;-0.011361465506948165
11;5;547;0.011361465506948165
12;6;547;-0.012854256449105046
13;6;548;0.012854256449105046
14;7;548;-0.012001771690115064
15;7;549;0.012001771690114377
16;8;549;-0.00875453976010644
17;8;550;0.00875453976010644
18;9;550;-0.004174390304754084
19;9;551;0.004174390304754084
20;10;552;-0.0006086097972655679
21;10;553;0.0006086097972655679
22;11;541;0.00031582354624639465
23;11;553;-0.0024051325000531386
24;11;554;0.002089308953806744
25;12;542;0.0008180313608188373
26;12;554;-0.0054116302187263154
27;12;555;0.004593598857907478
28;13;543;0.0016184366884538866
29;13;555;-0.00908821993845195
30;13;556;0.007469783249998065
31;14;544;0.0025418578666527346
32;14;556;-0.011731770202469696
33;14;557;0.00918991233581696
34;15;545;0.0031551939159619987
35;15;557;-0.01140738664839904
36;15;558;0.00825219273243704
37;16;546;0.0029121221288140623
38;16;558;-0.007616455187044665
39;16;559;0.004704333058230568
40;17;547;0.001492790942156882
41;17;559;-0.002411501121028959
42;17;560;0.0009187101788720769
43;18;548;-0.000852484758989983
44;18;560;0.0005246457513313338
45;18;561;0.0003278390076586492
46;19;549;-0.0032472319300079367
47;19;561;-0.0012487839604830285
48;19;562;0.004496015890490965
49;20;550;-0.004580149455352356
50;20;562;-0.006341531857272872
51;20;563;0.010921681312625229
52;21;551;-0.004174390304754085
53;21;563;-0.009954120717560511
54;21;564;0.014128511022314598
55;22;564;-0.007728114203896108
56;22;565;0.007728114203896109
57;23;566;-0.0006086097972655706
58;23;567;0.0006086097972655706
59;24;552;0.0006086097972655679
60;24;567;-0.0029256852756583216
61;24;568;0.0023170754783927534
62;25;553;0.0017965227027875708
63;25;568;-0.006839651152027367
64;25;569;0.005043128449239785
65;26;554;0.003322321264919567
66;26;569;-0.010736068837756742
67;26;570;0.007413747572837166
68;27;555;0.004494621080544475
69;27;570;-0.01181583177889338
70;27;571;0.007321210698348905
71;28;556;0.004261986952471632
