edge_index;vertex_1_index;vertex_2_index;current
263;92;2540;-0.0008134473398087858
264;92;2541;-0.0008110313211477352
265;93;2522;-6.481813794784956e-05
266;93;2541;-0.00015501851861270677
267;93;2542;0.0002198366565605563
268;94;2523;0.001166617405736051
269;94;2542;-0.002131793777034317
270;94;2543;0.0009651763712982655
271;95;2524;0.001441238900231487
272;95;2543;-0.000903820677751793
273;95;2544;-0.0005374182224796942
274;96;2525;-0.0003177051382337611
275;96;2544;-0.00023019954031240386
276;96;2545;0.0005479046785461649
277;97;2526;0.0005479046785461627
278;97;2545;-0.0024211539025040104
279;97;2546;0.0018732492239578475
280;98;2527;0.0015846836267219824
281;98;2546;-0.0016247724984875167
282;98;2547;4.008887176553437e-05
283;99;2528;-0.0004578350618042365
284;99;2547;1.2160113170042065e-05
285;99;2548;0.0004456749486341945
286;100;2529;-0.0005850858831998747
287;100;2548;-0.0023142630893354544
288;100;2549;0.002899348972535327
289;101;2530;0.0015369126767780317
290;101;2549;-0.002649779010584272
291;101;2550;0.001112866333806241
292;102;2531;-0.0003302604575171204
293;102;2550;0.0001440220226371795
294;102;2551;0.00018623843487994084
295;103;2532;-0.001962382841818513
296;103;2551;-0.0018141599521027513
297;103;2552;0.003776542793921265
298;104;2533;0.0011544364683876928
299;104;2552;-0.003696759709062751
300;104;2553;0.002542323240675059
301;105;2534;-7.996437572131677e-05
302;105;2553;5.5959584900536476e-05
303;105;2554;2.4004790820780283e-05
304;106;2535;-0.003318433077671882
305;106;2554;-0.001178677327714157
306;106;2555;0.004497110405386039
307;107;2536;0.000588732651605443
308;107;2555;-0.0045951454323361045
309;107;2556;0.004006412780730661
310;108;2537;6.176366859586983e-05
311;108;2556;-5.416764845114499e-05
312;108;2557;-7.596020144724843e-06
313;109;2538;-0.004665272815808254
314;109;2557;-0.0005737597376443147
315;109;2558;0.00523903255345257
316;110;2558;-0.0053758947823241265
317;110;2559;0.0053758947823241265
318;111;2539;0.002539976896745042
319;111;2560;-0.001812135753515431
320;111;2561;-0.0007278411432296119
321;112;2540;0.0003484594952272848
322;112;2561;0.0003082685430517106
323;112;2562;-0.0006567280382789953
324;113;2541;0.0009660498397604418
325;113;2562;-0.001826100203025005
326;113;2563;0.0008600503632645631
327;114;2542;0.0019119571204737618
328;114;2563;-0.0012002894004709405
329;114;2564;-0.0007116677200028211
330;115;2543;-6.135569354647254e-05
331;115;2564;-5.044202322293375e-05
332;115;2565;0.00011179771676940632
333;116;2544;0.0007676177627920979
334;116;2565;-0.002352301389514081
335;116;2566;0.0015846836267219828
336;117;2545;0.0018732492239578458
337;117;2566;-0.001624772498487516
338;117;2567;-0.0002484767254703297
339;118;2546;-0.0002484767254703322
340;118;2567;-4.259932367307305e-05
341;118;2568;0.0002910760491434052
342;119;2547;-5.224898493557642e-05
343;119;2568;-0.002480660546577469
344;119;2569;0.0025329095315130457
345;120;2548;0.0018685881407012603
346;120;2569;-0.0024715807414189255
347;120;2570;0.000602992600717665
348;121;2549;-0.00024956996195105516
349;121;2570;6.428400779973821e-05
350;121;2571;0.00018528595415131694
351;122;2550;-0.0012568883564434202
352;122;2571;-0.002221843880929617
353;122;2572;0.003478732237373036
354;123;2551;0.0016279215172228102
355;123;2572;-0.003484314553485722
356;123;2573;0.001856393036262912
357;124;2552;-7.97830848585137e-05
358;124;2573;4.370473154448267e-05
359;124;2574;3.6078353314031016e-05
360;125;2553;-0.002598282825575596
361;125;2574;-0.0017084912542810848
362;125;2575;0.0043067740798566805
363;126;2554;0.0011546725368933764
364;126;2575;-0.004461707165568381
365;126;2576;0.003307034628675004
366;127;2555;9.803502695006512e-05
367;127;2576;-7.359063639114722e-05
368;127;2577;-2.4444390558917894e-05
369;128;2556;-0.0039522451322795155
370;128;2577;-0.001130278282578551
371;128;2578;0.005082523414858065
372;129;2557;0.0005813557577890396
373;129;2578;-0.00533127846536033
374;129;2579;0.004749922707571294
375;130;2558;0.00013686222887155682
376;130;2579;-0.0001224636347628382
377;130;2580;-1.4398594108718649e-05
378;131;2559;-0.0053758947823241265
379;131;2580;-0.0005655711409939643
