energy;conductance_lead;conductance_junction
-0.1;1.0;0.395
-0.0998;1.0;0.396
-0.0996;1.0;0.397
-0.0994;1.0;0.398
-0.0992;1.0;0.399
-0.099;1.0;0.4
-0.0988;1.0;0.401
-0.0986;1.0;0.402
-0.0984;1.0;0.403
-0.0982;1.0;0.404
-0.098;1.0;0.405
-0.0978;1.0;0.405
-0.0976;1.0;0.406
-0.0974;1.0;0.407
-0.0972;1.0;0.408
-0.097;1.0;0.409
-0.0968;1.0;0.41
-0.0966;1.0;0.411
-0.0964;1.0;0.412
-0.0962;1.0;0.413
-0.096;1.0;0.414
-0.0958;1.0;0.415
-0.0956;1.0;0.416
-0.0954;1.0;0.417
-0.0952;1.0;0.418
-0.095;1.0;0.419
-0.0948;1.0;0.42
-0.0946;1.0;0.421
-0.0944;1.0;0.422
-0.0942;1.0;0.423
-0.094;1.0;0.424
-0.0938;1.0;0.425
-0.0936;1.0;0.426
-0.0934;1.0;0.427
-0.0932;1.0;0.427
-0.093;1.0;0.428
-0.0928;1.0;0.429
-0.0926;1.0;0.43
-0.0924;1.0;0.431
-0.0922;1.0;0.432
-0.092;1.0;0.433
-0.0918;1.0;0.434
-0.0916;1.0;0.435
-0.0914;1.0;0.436
-0.0912;1.0;0.437
-0.091;1.0;0.438
-0.0908;1.0;0.439
-0.0906;1.0;0.44
-0.0904;1.0;0.44
-0.0902;1.0;0.441
-0.09;1.0;0.442
-0.0898;1.0;0.443
-0.0896;1.0;0.444
-0.0894;1.0;0.445
-0.0892;1.0;0.446
-0.089;1.0;0.447
-0.0888;1.0;0.448
-0.0886;1.0;0.449
-0.0884;1.0;0.45
-0.0882;1.0;0.45
-0.088;1.0;0.451
-0.0878;1.0;0.452
-0.0876;1.0;0.453
-0.0874;1.0;0.454
-0.0872;1.0;0.455
-0.087;1.0;0.456
-0.0868;1.0;0.457
-0.0866;1.0;0.458
-0.0864;1.0;0.458
-0.0862;1.0;0.459
-0.086;1.0;0.46
-0.0858;1.0;0.461
-0.0856;1.0;0.462
-0.0854;1.0;0.463
-0.0852;1.0;0.464
-0.085;1.0;0.465
-0.0848;1.0;0.466
-0.0846;1.0;0.467
-0.0844;1.0;0.467
-0.0842;1.0;0.468
-0.084;1.0;0.469
-0.0838;1.0;0.47
-0.0836;1.0;0.471
-0.0834;1.0;0.472
-0.0832;1.0;0.473
-0.083;1.0;0.474
-0.0828;1.0;0.475
-0.0826;1.0;0.475
-0.0824;1.0;0.476
-0.0822;1.0;0.477
-0.082;1.0;0.478
-0.0818;1.0;0.479
-0.0816;1.0;0.48
-0.0814;1.0;0.481
-0.0812;1.0;0.482
-0.081;1.0;0.483
-0.0808;1.0;0.483
-0.0806;1.0;0.484
-0.0804;1.0;0.485
-0.0802;1.0;0.486
-0.08;1.0;0.487
-0.0798;1.0;0.488
-0.0796;1.0;0.489
-0.0794;1.0;0.49
-0.0792;1.0;0.491
-0.079;1.0;0.491
-0.0788;1.0;0.492
-0.0786;1.0;0.493
-0.0784;1.0;0.494
-0.0782;1.0;0.495
-0.078;1.0;0.496
-0.0778;1.0;0.497
-0.0776;1.0;0.498
-0.0774;1.0;0.499
-0.0772;1.0;0.5
-0.077;1.0;0.5
-0.0768;1.0;0.501
-0.0766;1.0;0.502
-0.0764;1.0;0.503
-0.0762;1.0;0.504
-0.076;1.0;0.505
-0.0758;1.0;0.506
-0.0756;1.0;0.507
-0.0754;1.0;0.508
-0.0752;1.0;0.509
-0.075;1.0;0.51
-0.0748;1.0;0.511
-0.0746;1.0;0.511
-0.0744;1.0;0.512
-0.0742;1.0;0.513
-0.074;1.0;0.514
-0.0738;1.0;0.515
-0.0736;1.0;0.516
-0.0734;1.0;0.517
-0.0732;1.0;0.518
-0.073;1.0;0.519
-0.0728;1.0;0.52
-0.0726;1.0;0.521
-0.0724;1.0;0.522
-0.0722;1.0;0.523
-0.072;1.0;0.524
-0.0718;1.0;0.525
-0.0716;1.0;0.526
-0.0714;1.0;0.527
-0.0712;1.0;0.528
-0.071;1.0;0.529
-0.0708;1.0;0.53
-0.0706;1.0;0.531
-0.0704;1.0;0.531
-0.0702;1.0;0.532
-0.07;1.0;0.533
-0.0698;1.0;0.534
-0.0696;1.0;0.535
-0.0694;1.0;0.536
-0.0692;1.0;0.538
-0.069;1.0;0.539
-0.0688;1.0;0.54
-0.0686;1.0;0.541
-0.0684;1.0;0.542
-0.0682;1.0;0.543
-0.068;1.0;0.544
-0.0678;1.0;0.545
-0.0676;1.0;0.546
-0.0674;1.0;0.547
-0.0672;1.0;0.548
-0.067;1.0;0.549
-0.0668;1.0;0.55
-0.0666;1.0;0.551
-0.0664;1.0;0.552
-0.0662;1.0;0.553
-0.066;1.0;0.554
-0.0658;1.0;0.555
-0.0656;1.0;0.557
-0.0654;1.0;0.558
-0.0652;1.0;0.559
-0.065;1.0;0.56
-0.0648;1.0;0.561
-0.0646;1.0;0.562
-0.0644;1.0;0.563
-0.0642;1.0;0.565
-0.064;1.0;0.566
-0.0638;1.0;0.567
-0.0636;1.0;0.568
-0.0634;1.0;0.569
-0.0632;1.0;0.57
-0.063;1.0;0.572
-0.0628;1.0;0.573
-0.0626;1.0;0.574
-0.0624;1.0;0.575
-0.0622;1.0;0.577
-0.062;1.0;0.578
-0.0618;1.0;0.579
-0.0616;1.0;0.58
-0.0614;1.0;0.582
-0.0612;1.0;0.583
-0.061;1.0;0.584
-0.0608;1.0;0.586
-0.0606;1.0;0.587
-0.0604;1.0;0.588
-0.0602;1.0;0.59
-0.06;1.0;0.591
-0.0598;1.0;0.592
-0.0596;1.0;0.594
-0.0594;1.0;0.595
-0.0592;1.0;0.597
-0.059;1.0;0.598
-0.0588;1.0;0.6
-0.0586;1.0;0.601
-0.0584;1.0;0.602
-0.0582;1.0;0.604
-0.058;1.0;0.605
-0.0578;1.0;0.607
-0.0576;1.0;0.609
-0.0574;1.0;0.61
-0.0572;1.0;0.612
-0.057;1.0;0.613
-0.0568;1.0;0.615
-0.0566;1.0;0.616
-0.0564;1.0;0.618
-0.0562;1.0;0.62
-0.056;1.0;0.621
-0.0558;1.0;0.623
-0.0556;1.0;0.625
-0.0554;1.0;0.627
-0.0552;1.0;0.628
-0.055;1.0;0.63
-0.0548;1.0;0.632
-0.0546;1.0;0.634
-0.0544;1.0;0.636
-0.0542;1.0;0.638
-0.054;1.0;0.639
