vertex_index;vertex_x;vertex_y;ldos
0;83.0;-55.42562584220408;0.02203028205002117
1;81.5;-56.29165124598852;0.1457389277590544
2;80.0;-57.15767664977295;0.4261333447666477
3;78.5;-58.02370205355739;0.7412274671976871
4;77.0;-58.889727457341834;0.8024599040952838
5;75.5;-59.75575286112627;0.5012503437438581
6;74.0;-60.62177826491071;0.12852767865293935
7;86.0;-51.96152422706632;0.0004076077584049846
8;84.5;-52.827549630850754;0.004764144319190764
9;83.0;-53.693575034635195;0.02203028205002117
10;81.5;-54.559600438419636;0.054443666630150066
11;80.0;-55.42562584220407;0.0734579198083243
12;78.5;-56.29165124598851;0.04332924687399271
13;77.0;-57.15767664977295;0.0012149115838894122
14;75.5;-58.023702053557386;0.03527293717940827
15;74.0;-58.88972745734183;0.12213821660774801
16;72.5;-59.75575286112626;0.1285276786529393
17;71.0;-60.6217782649107;0.04428966666020632
18;87.5;-49.363448015713;2.189119647289353e-05
19;86.0;-50.22947341949744;0.0004076077584049847
20;84.5;-51.09549882328187;0.0023847090663286566
21;83.0;-51.96152422706631;0.006304873608960824
22;81.5;-52.827549630850754;0.007208969601288096
23;80.0;-53.69357503463519;0.0014212559931643923
24;78.5;-54.55960043841963;0.0039531940991479305
25;77.0;-55.42562584220407;0.03003330680149569
26;75.5;-56.291651245988504;0.0495803657065078
27;74.0;-57.157676649772945;0.026137795612543466
28;72.5;-58.02370205355738;8.144677751646788e-05
29;71.0;-58.88972745734182;0.021920717860458044
30;69.5;-59.75575286112626;0.04428966666020632
31;68.0;-60.621778264910695;0.020133808126951622
32;87.5;-47.63139720814413;2.189119647289363e-05
33;86.0;-48.49742261192857;0.00024057546218182274
34;84.5;-49.363448015713004;0.0008204893302765206
35;83.0;-50.229473419497445;0.0009345096885677926
36;81.5;-51.095498823281886;3.0276592033694526e-05
37;80.0;-51.96152422706632;0.0022284160845184894
38;78.5;-52.82754963085076;0.010115125489576096
39;77.0;-53.6935750346352;0.012194071827631065
40;75.5;-54.559600438419636;0.0024369315922612112
41;74.0;-55.42562584220408;0.003720342873438389
42;72.5;-56.29165124598851;0.02330113394517661
43;71.0;-57.15767664977295;0.024674520774855307
44;69.5;-58.02370205355739;0.003893090388389423
45;68.0;-58.88972745734183;0.004700124226653042
46;66.5;-59.75575286112627;0.02013380812695162
47;65.0;-60.62177826491071;0.01150270000755919
48;89.0;-45.033320996790806;8.855832895192761e-07
49;87.5;-45.89934640057525;2.189119647289384e-05
50;86.0;-46.76537180435969;0.00011732555890444774
51;84.5;-47.63139720814412;0.00017249380520628076
52;83.0;-48.49742261192856;3.7078054707056983e-06
53;81.5;-49.363448015713004;0.0006283712476895611
54;80.0;-50.22947341949744;0.0027781879880699072
55;78.5;-51.09549882328188;0.0028481304007131796
56;77.0;-51.96152422706632;9.70774935259984e-05
57;75.5;-52.827549630850754;0.00372850483010907
58;74.0;-53.693575034635195;0.012179307704507043
59;72.5;-54.55960043841963;0.00840017636821998
60;71.0;-55.42562584220407;1.9661826215364734e-05
61;69.5;-56.29165124598851;0.008965556202939751
62;68.0;-57.157676649772945;0.017148448907805956
63;66.5;-58.023702053557386;0.005378198047003012
64;65.0;-58.88972745734183;0.0012001381213780568
65;63.5;-59.75575286112626;0.01150270000755919
66;62.0;-60.6217782649107;0.007804566558727357
67;89.0;-43.301270189221924;8.855832895194061e-07
68;87.5;-44.167295593006365;1.3970764140357118e-05
69;86.0;-45.033320996790806;3.7858048572859455e-05
70;84.5;-45.89934640057524;5.299191867132479e-06
71;83.0;-46.76537180435968;0.00012562203082086868
72;81.5;-47.63139720814412;0.0007286166800175974
73;80.0;-48.497422611928556;0.000764035099726184
74;78.5;-49.363448015713;4.347541109158319e-07
75;77.0;-50.22947341949744;0.0018935627819767521
76;75.5;-51.09549882328187;0.0050288344227505085
