edge_index;vertex_1_index;vertex_2_index;probabilitycurrent
0;0;700;-0.0050546824094907655
1;0;701;0.0050546824094907655
2;1;702;-0.008585952524982354
3;1;703;0.008585952524982354
4;2;700;0.0050546824094907655
5;2;703;-0.005047876652850341
6;2;704;-6.805756640422796e-06
7;3;701;-0.0050546824094907655
8;3;704;-6.805756640422797e-06
9;4;705;-0.011361228704319905
10;4;706;0.011361228704319905
11;5;702;0.008585952524982354
12;5;706;-0.00856782972624164
13;5;707;-1.812279874071341e-05
14;6;703;-0.0035380758721320115
15;6;707;-7.4679934198860814e-06
16;6;708;0.0035455438655518983
17;7;704;1.3611513280845509e-05
18;7;708;-0.01011706291634228
19;8;709;-0.013723223402875784
20;8;710;0.013723223402875784
21;9;705;0.011361228704319905
22;9;710;-0.01132935053455618
23;9;711;-3.1878169763724266e-05
24;10;706;-0.002793398978078265
25;10;711;-7.837923974467104e-06
26;10;712;0.0028012369020527315
27;11;707;2.559079216059949e-05
28;11;712;-0.012132384289584793
29;11;713;0.012106793497424197
30;12;708;0.006571519050790436
31;12;713;-0.006548355374178328
32;13;714;-0.015839750138346834
33;13;715;0.015839750138346834
34;14;709;0.013723223402875784
35;14;715;-0.013674807051977473
36;14;716;-4.841635089830976e-05
37;15;710;-0.0023938728683196024
38;15;716;-8.445726298838584e-06
39;15;717;0.002402318594618442
40;16;711;3.971609373819137e-05
41;16;717;-0.01416470983884601
42;16;718;0.01412499374510782
43;17;712;0.009331147387532063
44;17;718;-0.009285557723715046
45;17;719;-4.5589663817013294e-05
46;18;713;-0.0055584381232459245
47;18;719;-2.7214548841158563e-05
48;19;720;-0.01780012071599129
49;19;721;0.017800120715991286
50;20;714;0.01583975013834683
51;20;721;-0.015771243206788847
52;20;722;-6.850693155798521e-05
53;21;715;-0.0021649430863693586
54;21;722;-9.36338051733423e-06
55;21;723;0.0021743064668866925
56;22;716;5.686207719714835e-05
57;22;723;-0.016129694719266868
58;22;724;0.016072832642069712
59;23;717;0.011762391244227566
60;23;724;-0.01168884832436861
61;23;725;-7.354291985895602e-05
62;24;718;-0.004839436021392772
63;24;725;-3.034306299455081e-05
64;24;726;0.004869779084387323
65;25;719;7.280421265817184e-05
66;25;726;-0.014921504743670265
67;26;727;-0.019654478855485998
68;26;728;0.019654478855485998
69;27;720;0.01780012071599129
70;27;728;-0.017706977991570876
71;27;729;-9.314272442041051e-05
72;28;721;-0.0020288775092024416
73;28;729;-1.0616511075267045e-05
74;28;730;0.002039494020277709
75;29;722;7.787031207531943e-05
76;29;730;-0.01802062863187881
77;29;731;0.017942758319803492
78;30;723;0.013955388252380173
79;30;731;-0.013847492263030746
80;30;732;-0.00010789598934942932
81;31;724;-0.0043839843177011
82;31;732;-3.401465693858629e-05
83;31;733;0.004417998974639687
84;32;725;0.00010388598285350682
85;32;733;-0.016639659170310336
86;32;734;0.01653577318745683
87;33;726;0.010051725659282135
88;33;734;-0.009969154790332457
89;34;735;-0.021430706804392234
90;34;736;0.021430706804392234
91;35;727;0.019654478855485998
92;35;736;-0.01953095350989794
93;35;737;-0.00012352534558806124
94;36;728;-0.001947500863915123
95;36;737;-1.22397403165445e-05
96;36;738;0.001959740604231668
97;37;729;0.00010375923549567757
98;37;738;-0.019849209051734547
99;37;739;0.01974544981623887
100;38;730;0.015981134611601097
101;38;739;-0.0158309602724185
102;38;740;-0.00015017433918259346
103;39;731;-0.004095266056772746
104;39;740;-3.865013107782942e-05
105;39;741;0.004133916187850575
106;40;732;0.00014191064628801554
107;40;741;-0.018384861099205455
108;40;742;0.01824295045291744
109;41;733;0.012221660195670649
110;41;742;-0.012096250994843159
111;41;743;-0.00012540920082749143
112;42;734;-0.006566618397124382
113;42;743;-6.780487106070428e-05
114;43;744;-0.023141842197474012
115;43;745;0.023141842197474012
116;44;735;0.021430706804392234
117;44;745;-0.02126963017357785
118;44;746;-0.0001610766308143841
119;45;736;-0.0018997532944942945
120;45;746;-1.4278850569359257e-05
121;45;747;0.0019140321450636538
122;46;737;0.0001357650859046058
123;46;747;-0.021627558146851543
124;46;748;0.02149179306094694
125;47;738;0.01788946844750288
126;47;748;-0.0176870580314398
127;47;749;-0.0002024104160630712
128;48;739;-0.003914489543820369
129;48;749;-4.452323708596865e-05
130;48;750;0.003959012780906338
131;49;740;0.0001888244702604229
132;49;750;-0.020131751959991687
133;49;751;0.019942927489731276
134;50;741;0.014250944911354875
135;50;751;-0.014072251888771786
136;50;752;-0.00017869302258309181
137;51;742;-0.006146699458074282
138;51;752;-7.767319808892081e-05
139;51;753;0.0062243726561632025
140;52;743;0.00019321407188819568
141;52;753;-0.01887181844982911
142;53;754;-0.024789134336499402
143;53;755;0.024789134336499406
144;54;744;0.023141842197474012
145;54;755;-0.022934405256150286
146;54;756;-0.00020743694132372475
147;55;745;-0.001872212023896161
148;55;756;-1.6781980122088593e-05
149;55;757;0.0018889940040182503
150;56;746;0.00017535548138374334
151;56;757;-0.023362660439416136
152;56;758;0.023187304958032395
