energy;conductance_lead;conductance_junction
-0.1;1.0;0.936
-0.0998;1.0;0.937
-0.0996;1.0;0.938
-0.0994;1.0;0.938
-0.0992;1.0;0.939
-0.099;1.0;0.939
-0.0988;1.0;0.94
-0.0986;1.0;0.94
-0.0984;1.0;0.941
-0.0982;1.0;0.942
-0.098;1.0;0.942
-0.0978;1.0;0.943
-0.0976;1.0;0.943
-0.0974;1.0;0.944
-0.0972;1.0;0.945
-0.097;1.0;0.945
-0.0968;1.0;0.946
-0.0966;1.0;0.946
-0.0964;1.0;0.947
-0.0962;1.0;0.948
-0.096;1.0;0.948
-0.0958;1.0;0.949
-0.0956;1.0;0.949
-0.0954;1.0;0.95
-0.0952;1.0;0.951
-0.095;1.0;0.951
-0.0948;1.0;0.952
-0.0946;1.0;0.952
-0.0944;1.0;0.953
-0.0942;1.0;0.954
-0.094;1.0;0.954
-0.0938;1.0;0.955
-0.0936;1.0;0.955
-0.0934;1.0;0.956
-0.0932;1.0;0.957
-0.093;1.0;0.957
-0.0928;1.0;0.958
-0.0926;1.0;0.959
-0.0924;1.0;0.959
-0.0922;1.0;0.96
-0.092;1.0;0.96
-0.0918;1.0;0.961
-0.0916;1.0;0.962
-0.0914;1.0;0.962
-0.0912;1.0;0.963
-0.091;1.0;0.964
-0.0908;1.0;0.964
-0.0906;1.0;0.965
-0.0904;1.0;0.966
-0.0902;1.0;0.966
-0.09;1.0;0.967
-0.0898;1.0;0.967
-0.0896;1.0;0.968
-0.0894;1.0;0.969
-0.0892;1.0;0.969
-0.089;1.0;0.97
-0.0888;1.0;0.971
-0.0886;1.0;0.971
-0.0884;1.0;0.972
-0.0882;1.0;0.973
-0.088;1.0;0.973
-0.0878;1.0;0.974
-0.0876;1.0;0.975
-0.0874;1.0;0.975
-0.0872;1.0;0.976
-0.087;1.0;0.976
-0.0868;1.0;0.977
-0.0866;1.0;0.978
-0.0864;1.0;0.978
-0.0862;1.0;0.979
-0.086;1.0;0.98
-0.0858;1.0;0.98
-0.0856;1.0;0.981
-0.0854;1.0;0.982
-0.0852;1.0;0.982
-0.085;1.0;0.983
-0.0848;1.0;0.983
-0.0846;1.0;0.984
-0.0844;1.0;0.985
-0.0842;1.0;0.985
-0.084;1.0;0.986
-0.0838;1.0;0.986
-0.0836;1.0;0.987
-0.0834;1.0;0.988
-0.0832;1.0;0.988
-0.083;1.0;0.989
-0.0828;1.0;0.989
-0.0826;1.0;0.99
-0.0824;1.0;0.99
-0.0822;1.0;0.991
-0.082;1.0;0.992
-0.0818;1.0;0.992
-0.0816;1.0;0.993
-0.0814;1.0;0.993
-0.0812;1.0;0.994
-0.081;1.0;0.994
-0.0808;1.0;0.995
-0.0806;1.0;0.995
-0.0804;1.0;0.995
-0.0802;1.0;0.996
-0.08;1.0;0.996
-0.0798;1.0;0.997
-0.0796;1.0;0.997
-0.0794;1.0;0.997
-0.0792;1.0;0.998
-0.079;1.0;0.998
-0.0788;1.0;0.998
-0.0786;1.0;0.999
-0.0784;1.0;0.999
-0.0782;1.0;0.999
-0.078;1.0;0.999
-0.0778;1.0;1.0
-0.0776;1.0;1.0
-0.0774;1.0;1.0
-0.0772;1.0;1.0
-0.077;1.0;1.0
-0.0768;1.0;1.0
-0.0766;1.0;1.0
-0.0764;1.0;1.0
-0.0762;1.0;1.0
-0.076;1.0;1.0
-0.0758;1.0;0.999
-0.0756;1.0;0.999
-0.0754;1.0;0.999
-0.0752;1.0;0.998
-0.075;1.0;0.998
-0.0748;1.0;0.998
-0.0746;1.0;0.997
-0.0744;1.0;0.996
-0.0742;1.0;0.996
-0.074;1.0;0.995
-0.0738;1.0;0.994
-0.0736;1.0;0.993
-0.0734;1.0;0.992
-0.0732;1.0;0.991
-0.073;1.0;0.99
-0.0728;1.0;0.988
-0.0726;1.0;0.987
-0.0724;1.0;0.985
-0.0722;1.0;0.983
-0.072;1.0;0.982
-0.0718;1.0;0.98
-0.0716;1.0;0.978
-0.0714;1.0;0.975
-0.0712;1.0;0.973
-0.071;1.0;0.97
-0.0708;1.0;0.968
-0.0706;1.0;0.965
-0.0704;1.0;0.961
-0.0702;1.0;0.958
-0.07;1.0;0.954
-0.0698;1.0;0.951
-0.0696;1.0;0.947
-0.0694;1.0;0.942
-0.0692;1.0;0.938
-0.069;1.0;0.933
-0.0688;1.0;0.928
-0.0686;1.0;0.923
-0.0684;1.0;0.917
-0.0682;1.0;0.911
-0.068;1.0;0.904
-0.0678;1.0;0.898
-0.0676;1.0;0.891
-0.0674;1.0;0.883
-0.0672;1.0;0.875
-0.067;1.0;0.867
-0.0668;1.0;0.858
-0.0666;1.0;0.849
-0.0664;1.0;0.839
-0.0662;1.0;0.829
-0.066;1.0;0.818
-0.0658;1.0;0.807
-0.0656;1.0;0.796
-0.0654;1.0;0.783
-0.0652;1.0;0.771
-0.065;1.0;0.757
-0.0648;1.0;0.743
-0.0646;1.0;0.729
-0.0644;1.0;0.714
-0.0642;1.0;0.698
-0.064;1.0;0.682
-0.0638;1.0;0.665
-0.0636;1.0;0.648
-0.0634;1.0;0.63
-0.0632;1.0;0.612
-0.063;1.0;0.593
-0.0628;1.0;0.573
-0.0626;1.0;0.553
-0.0624;1.0;0.533
-0.0622;1.0;0.512
-0.062;1.0;0.491
-0.0618;1.0;0.47
-0.0616;1.0;0.448
-0.0614;1.0;0.426
