edge_index;vertex_1_index;vertex_2_index;current
0;0;890;-7.79077372295981e-16
1;0;891;7.79077372295981e-16
2;1;891;-1.8886674012669297e-14
3;1;892;1.888667376019584e-14
4;2;892;-2.235921142626644e-13
5;2;893;2.2359211426267732e-13
6;3;893;-1.7514675229777245e-12
7;3;894;1.7514675229777245e-12
8;4;894;-1.028684590255029e-11
9;4;895;1.028684590255029e-11
10;5;895;-4.847781190797458e-11
11;5;896;4.847781186817396e-11
12;6;896;-1.9118617771526592e-10
13;6;897;1.9118617771526592e-10
14;7;897;-6.490971408674844e-10
15;7;898;6.490971408674579e-10
16;8;898;-1.935565242699115e-09
17;8;899;1.935565242699115e-09
18;9;899;-5.144405399701503e-09
19;9;900;5.1444051417865355e-09
20;10;900;-1.2321838000264794e-08
21;10;901;1.2321838000264371e-08
22;11;901;-2.6819339270991524e-08
23;11;902;2.681933927099237e-08
24;12;902;-5.33804362521532e-08
25;12;903;5.33804362521532e-08
26;13;903;-9.760950455857533e-08
27;13;904;9.760950513216233e-08
28;14;904;-1.6450839535713104e-07
29;14;905;1.6450839535713782e-07
30;15;905;-2.560583499322186e-07
31;15;906;2.560583499322186e-07
32;16;906;-3.683808608426404e-07
33;16;907;3.6838086084263363e-07
34;17;907;-4.896465312945539e-07
35;17;908;4.896465191054042e-07
36;18;908;-6.002297254444246e-07
37;18;909;6.002297254444246e-07
38;19;909;-6.762067193074415e-07
39;19;910;6.762067193074424e-07
40;20;910;-6.960168327862904e-07
41;20;911;6.960168327862921e-07
42;21;911;-6.483483968607125e-07
43;21;912;6.48348426851415e-07
44;22;912;-5.379889163689648e-07
45;22;913;5.379889163689716e-07
46;23;913;-3.864737989152213e-07
47;23;914;3.864737765484625e-07
48;24;914;-2.2625152396288617e-07
49;24;915;2.2625152396291327e-07
50;25;915;-9.008374099948372e-08
51;25;916;9.008374099948372e-08
52;26;890;7.79077372295981e-16
53;26;917;-1.8886664173595017e-14
54;26;918;1.810758680129939e-14
55;27;891;1.810759664037286e-14
56;27;918;-4.0427640947894043e-13
57;27;919;3.861688128385894e-13
58;28;892;2.0470544050246452e-13
59;28;919;-4.2574794962291056e-12
60;28;920;4.052774055726654e-12
61;29;893;1.5278754087151506e-12
62;29;920;-2.973122948765421e-11
63;29;921;2.820335407893989e-11
64;30;894;8.535378379572773e-12
65;30;921;-1.555662014089555e-10
66;30;922;1.4703082302938437e-10
67;31;895;3.819096600542429e-11
68;31;922;-6.514399641656276e-10
