energy;conductance_lead;conductance_junction
-0.1;1.0;0.899
-0.0998;1.0;0.899
-0.0996;1.0;0.899
-0.0994;1.0;0.9
-0.0992;1.0;0.9
-0.099;1.0;0.901
-0.0988;1.0;0.901
-0.0986;1.0;0.901
-0.0984;1.0;0.902
-0.0982;1.0;0.902
-0.098;1.0;0.902
-0.0978;1.0;0.903
-0.0976;1.0;0.903
-0.0974;1.0;0.904
-0.0972;1.0;0.904
-0.097;1.0;0.904
-0.0968;1.0;0.905
-0.0966;1.0;0.905
-0.0964;1.0;0.906
-0.0962;1.0;0.906
-0.096;1.0;0.907
-0.0958;1.0;0.907
-0.0956;1.0;0.907
-0.0954;1.0;0.908
-0.0952;1.0;0.908
-0.095;1.0;0.909
-0.0948;1.0;0.909
-0.0946;1.0;0.909
-0.0944;1.0;0.91
-0.0942;1.0;0.91
-0.094;1.0;0.911
-0.0938;1.0;0.911
-0.0936;1.0;0.912
-0.0934;1.0;0.912
-0.0932;1.0;0.913
-0.093;1.0;0.913
-0.0928;1.0;0.913
-0.0926;1.0;0.914
-0.0924;1.0;0.914
-0.0922;1.0;0.915
-0.092;1.0;0.915
-0.0918;1.0;0.916
-0.0916;1.0;0.916
-0.0914;1.0;0.917
-0.0912;1.0;0.917
-0.091;1.0;0.918
-0.0908;1.0;0.918
-0.0906;1.0;0.919
-0.0904;1.0;0.919
-0.0902;1.0;0.92
-0.09;1.0;0.92
-0.0898;1.0;0.921
-0.0896;1.0;0.921
-0.0894;1.0;0.922
-0.0892;1.0;0.922
-0.089;1.0;0.923
-0.0888;1.0;0.923
-0.0886;1.0;0.924
-0.0884;1.0;0.924
-0.0882;1.0;0.925
-0.088;1.0;0.925
-0.0878;1.0;0.926
-0.0876;1.0;0.926
-0.0874;1.0;0.927
-0.0872;1.0;0.927
-0.087;1.0;0.928
-0.0868;1.0;0.928
-0.0866;1.0;0.929
-0.0864;1.0;0.929
-0.0862;1.0;0.93
-0.086;1.0;0.931
-0.0858;1.0;0.931
-0.0856;1.0;0.932
-0.0854;1.0;0.932
-0.0852;1.0;0.933
-0.085;1.0;0.933
-0.0848;1.0;0.934
-0.0846;1.0;0.935
-0.0844;1.0;0.935
-0.0842;1.0;0.936
-0.084;1.0;0.936
-0.0838;1.0;0.937
-0.0836;1.0;0.938
-0.0834;1.0;0.938
-0.0832;1.0;0.939
-0.083;1.0;0.939
-0.0828;1.0;0.94
-0.0826;1.0;0.941
-0.0824;1.0;0.941
-0.0822;1.0;0.942
-0.082;1.0;0.942
-0.0818;1.0;0.943
-0.0816;1.0;0.944
-0.0814;1.0;0.944
-0.0812;1.0;0.945
-0.081;1.0;0.946
-0.0808;1.0;0.946
-0.0806;1.0;0.947
-0.0804;1.0;0.947
-0.0802;1.0;0.948
-0.08;1.0;0.949
-0.0798;1.0;0.949
-0.0796;1.0;0.95
-0.0794;1.0;0.951
-0.0792;1.0;0.951
-0.079;1.0;0.952
-0.0788;1.0;0.953
-0.0786;1.0;0.953
-0.0784;1.0;0.954
-0.0782;1.0;0.955
-0.078;1.0;0.956
-0.0778;1.0;0.956
-0.0776;1.0;0.957
-0.0774;1.0;0.958
-0.0772;1.0;0.958
-0.077;1.0;0.959
-0.0768;1.0;0.96
