energy;conductance
-0.035;0.771
-0.0348;0.774
-0.0346;0.778
-0.0344;0.781
-0.0342;0.784
-0.034;0.788
-0.0338;0.791
-0.0336;0.795
-0.0334;0.798
-0.0332;0.802
-0.033;0.806
-0.0328;0.81
-0.0326;0.814
-0.0324;0.818
-0.0322;0.822
-0.032;0.826
-0.0318;0.831
-0.0316;0.835
-0.0314;0.84
-0.0312;0.844
-0.031;0.849
-0.0308;0.854
-0.0306;0.859
-0.0304;0.864
-0.0302;0.869
-0.03;0.874
-0.0298;0.88
-0.0296;0.885
-0.0294;0.891
-0.0292;0.896
-0.029;0.902
-0.0288;0.908
-0.0286;0.914
-0.0284;0.92
-0.0282;0.926
-0.028;0.932
-0.0278;0.938
-0.0276;0.944
-0.0274;0.95
-0.0272;0.955
-0.027;0.961
-0.0268;0.967
-0.0266;0.972
-0.0264;0.978
-0.0262;0.982
-0.026;0.987
-0.0258;0.991
-0.0256;0.994
-0.0254;0.997
-0.0252;0.999
-0.025;1.0
-0.0248;1.0
-0.0246;0.998
-0.0244;0.995
-0.0242;0.991
-0.024;0.984
-0.0238;0.976
-0.0236;0.965
-0.0234;0.952
-0.0232;0.935
-0.023;0.916
-0.0228;0.894
-0.0226;0.868
-0.0224;0.839
-0.0222;0.807
-0.022;0.771
-0.0218;0.732
-0.0216;0.691
-0.0214;0.648
-0.0212;0.602
-0.021;0.555
-0.0208;0.508
-0.0206;0.46
-0.0204;0.414
-0.0202;0.368
-0.02;0.324
-0.0198;0.283
-0.0196;0.244
-0.0194;0.208
-0.0192;0.175
-0.019;0.146
-0.0188;0.119
-0.0186;0.096
-0.0184;0.076
-0.0182;0.059
-0.018;0.044
-0.0178;0.032
-0.0176;0.022
-0.0174;0.015
-0.0172;0.009
-0.017;0.005
-0.0168;0.002
-0.0166;0.0
-0.0164;0.0
-0.0162;0.001
-0.016;0.002
-0.0158;0.004
-0.0156;0.007
-0.0154;0.01
-0.0152;0.014
-0.015;0.017
-0.0148;0.022
-0.0146;0.026
-0.0144;0.031
-0.0142;0.035
-0.014;0.04
-0.0138;0.045
-0.0136;0.05
-0.0134;0.055
-0.0132;0.06
-0.013;0.065
-0.0128;0.07
-0.0126;0.074
-0.0124;0.079
-0.0122;0.084
-0.012;0.088
-0.0118;0.093
-0.0116;0.097
-0.0114;0.102
-0.0112;0.106
-0.011;0.11
-0.0108;0.114
-0.0106;0.118
-0.0104;0.122
-0.0102;0.126
-0.01;0.129
-0.0098;0.133
-0.0096;0.136
-0.0094;0.14
-0.0092;0.143
-0.009;0.146
-0.0088;0.149
-0.0086;0.152
-0.0084;0.155
-0.0082;0.158
-0.008;0.16
-0.0078;0.163
-0.0076;0.166
-0.0074;0.168
-0.0072;0.171
-0.007;0.173
-0.0068;0.175
-0.0066;0.177
-0.0064;0.179
-0.0062;0.181
-0.006;0.183
-0.0058;0.185
-0.0056;0.187
-0.0054;0.189
-0.0052;0.19
-0.005;0.192
-0.0048;0.194
-0.0046;0.195
-0.0044;0.197
-0.0042;0.198
-0.004;0.199
-0.0038;0.201
-0.0036;0.202
-0.0034;0.203
-0.0032;0.205
-0.003;0.206
-0.0028;0.208
-0.0026;0.209
-0.0024;0.211
-0.0022;0.212
-0.002;0.215
-0.0018;0.217
-0.0016;0.221
-0.0014;0.226
-0.0012;0.234
-0.001;0.25
-0.0008;0.285
-0.0006;0.43
-0.0004;0.098
-0.0002;0.052
0.0;0.075
0.0002;0.052
0.0004;0.098
0.0006;0.43
0.0008;0.285
0.001;0.25
0.0012;0.234
0.0014;0.226
0.0016;0.221
0.0018;0.217
0.002;0.215
0.0022;0.212
0.0024;0.211
0.0026;0.209
0.0028;0.208
0.003;0.206
0.0032;0.205
0.0034;0.203
0.0036;0.202
0.0038;0.201
0.004;0.199
0.0042;0.198
0.0044;0.197
0.0046;0.195
0.0048;0.194
0.005;0.192
0.0052;0.19
0.0054;0.189
0.0056;0.187
0.0058;0.185
0.006;0.183
0.0062;0.181
0.0064;0.179
0.0066;0.177
0.0068;0.175
0.007;0.173
0.0072;0.171
0.0074;0.168
0.0076;0.166
0.0078;0.163
0.008;0.16
0.0082;0.158
0.0084;0.155
0.0086;0.152
0.0088;0.149
0.009;0.146
0.0092;0.143
0.0094;0.14
0.0096;0.136
0.0098;0.133
0.01;0.129
0.0102;0.126
0.0104;0.122
0.0106;0.118
0.0108;0.114
0.011;0.11
0.0112;0.106
0.0114;0.102
0.0116;0.097
0.0118;0.093
0.012;0.088
0.0122;0.084
0.0124;0.079
0.0126;0.074
0.0128;0.07
0.013;0.065
0.0132;0.06
0.0134;0.055
0.0136;0.05
0.0138;0.045
0.014;0.04
0.0142;0.035
0.0144;0.031
0.0146;0.026
0.0148;0.022
0.015;0.017
0.0152;0.014
0.0154;0.01
0.0156;0.007
0.0158;0.004
0.016;0.002
0.0162;0.001
0.0164;0.0
0.0166;0.0
0.0168;0.002
0.017;0.005
0.0172;0.009
0.0174;0.015
0.0176;0.022
0.0178;0.032
0.018;0.044
0.0182;0.059
0.0184;0.076
0.0186;0.096
0.0188;0.119
0.019;0.146
0.0192;0.175
0.0194;0.208
0.0196;0.244
0.0198;0.283
0.02;0.324
0.0202;0.368
0.0204;0.414
0.0206;0.46
0.0208;0.508
0.021;0.555
0.0212;0.602
0.0214;0.648
0.0216;0.691
0.0218;0.732
0.022;0.771
0.0222;0.807
