edge_index;vertex_1_index;vertex_2_index;probabilitycurrent
0;0;2686;-1.4089776119959635e-07
1;0;2687;1.4089776119959635e-07
2;1;2687;-1.8268833239859277e-06
3;1;2688;1.826883323985773e-06
4;2;2688;-1.2118764949216701e-05
5;2;2689;1.21187649492167e-05
6;3;2689;-5.4583522529887796e-05
7;3;2690;5.458352252988278e-05
8;4;2690;-0.00018691408439069552
9;4;2691;0.00018691408439069552
10;5;2691;-0.0005165742888387553
11;5;2692;0.0005165742888387553
12;6;2692;-0.001194076697285851
13;6;2693;0.001194076697285851
14;7;2693;-0.0023611197314172532
15;7;2694;0.0023611197314174367
16;8;2694;-0.004050714843755332
17;8;2695;0.004050714843755332
18;9;2695;-0.00607776361245281
19;9;2696;0.006077763612452809
20;10;2696;-0.007996431552329545
21;10;2697;0.007996431552329545
22;11;2697;-0.009196483462888353
23;11;2698;0.009196483462903908
24;12;2698;-0.009143510380767154
25;12;2699;0.009143510380767154
26;13;2699;-0.007664356040193341
27;13;2700;0.0076643560401844935
28;14;2700;-0.005110170133496355
29;14;2701;0.005110170133496357
30;15;2701;-0.0022638196470888636
31;15;2702;0.0022638196470888636
32;16;2686;1.4089776119959635e-07
33;16;2703;-1.826883323986225e-06
34;16;2704;1.6859855627866289e-06
35;17;2687;1.6859855627863314e-06
36;17;2704;-2.017453856529772e-05
37;17;2705;1.8488553002511388e-05
38;18;2688;1.029188162523093e-05
39;18;2705;-0.0001128609894918763
40;18;2706;0.00010256910786664538
41;19;2689;4.2464757580671093e-05
42;19;2706;-0.00042320466351748124
43;19;2707;0.00038073990593681016
44;20;2690;0.00013233056186081273
45;20;2707;-0.0011864785893051155
46;20;2708;0.0010541480274443029
47;21;2691;0.0003296602044480598
48;21;2708;-0.002626080093105382
49;21;2709;0.0022964198886573223
50;22;2692;0.0006775024084470958
51;22;2709;-0.0047194959666108935
52;22;2710;0.004041993558163799
53;23;2693;0.0011670430341314021
54;23;2710;-0.006962603183287121
55;23;2711;0.005795560149155719
56;24;2694;0.001689595112337895
57;24;2711;-0.008390564712997926
58;24;2712;0.0067009696006600315
59;25;2695;0.002027048768697478
60;25;2712;-0.008039317868717097
61;25;2713;0.006012269100019619
62;26;2696;0.001918667939876736
63;26;2713;-0.005690809291730046
64;26;2714;0.003772141351853311
65;27;2697;0.0012000519105588075
66;27;2714;-0.0023593271882615266
67;27;2715;0.001159275277702719
68;28;2698;-5.297308213675401e-05
69;28;2715;5.11731072175025e-05
70;28;2716;1.799974919251532e-06
71;29;2699;-0.0014791543405738147
72;29;2716;-5.026026934201543e-05
73;29;2717;0.0015294146099158303
74;30;2700;-0.0025541859066881382
75;30;2717;-0.002640974735087784
76;30;2718;0.005195160641775921
77;31;2701;-0.0028463504864074925
78;31;2718;-0.00578941727834848
79;31;2719;0.008635767764755971
80;32;2702;-0.002263819647088864
81;32;2719;-0.0068683813983374566
82;32;2720;0.009132201045426322
83;33;2720;-0.004548251740886234
84;33;2721;0.004548251740886233
85;34;2703;1.8268833239862208e-06
86;34;2722;-1.2118764949220755e-05
87;34;2723;1.0291881625234534e-05
88;35;2704;1.8488553002511096e-05
89;35;2723;-0.00011286098949188489
90;35;2724;9.437243648937379e-05
91;36;2705;9.437243648936486e-05
92;36;2724;-0.0005256396293305151
93;36;2725;0.0004312671928411503
94;37;2706;0.0003206355556508411
95;37;2725;-0.0016122790462321595
96;37;2726;0.001291643490581295
97;38;2707;0.0008057386833683053
98;38;2726;-0.003607839761147846
99;38;2727;0.002802101077779541
100;39;2708;0.001571932065661079
101;39;2727;-0.006152925559578213
102;39;2728;0.004580993493917137
103;40;2709;0.0024230760779535713
104;40;2728;-0.00807513180650843
105;40;2729;0.005652055728554859
106;41;2710;0.002920609625123323
107;41;2729;-0.007954500246459079
108;41;2730;0.005033890621335765
109;42;2711;0.002595004563842207
110;42;2730;-0.0053733436354732305
111;42;2731;0.0027783390716310244
112;43;2712;0.001338348268057064
113;43;2731;-0.0017941956738503255
114;43;2732;0.0004558474057932616
115;44;2713;-0.000321459808289571
116;44;2732;0.0001464056440824837
117;44;2733;0.00017505416420708723
118;45;2714;-0.001412814163591785
119;45;2733;-0.0011606917015363422
120;45;2734;0.0025735058651281287
121;46;2715;-0.0012104483849202218
122;46;2734;-0.004487329862544046
123;46;2735;0.005697778247464275
124;47;2716;4.846029442276391e-05
125;47;2735;-0.006485157597862457
126;47;2736;0.006436697303439664
127;48;2717;0.0011115601251719537
128;48;2736;-0.004851874712474715
129;48;2737;0.003740314587302761
130;49;2718;0.0005942566365725582
131;49;2737;-0.0010165166065589828
132;49;2738;0.00042225996998642465
133;50;2719;-0.0017673863664185137
134;50;2738;0.0008419208621510774
135;50;2739;0.0009254655042674365
136;51;2720;-0.004583949304540087
137;51;2739;-0.0018052920949979553
138;51;2740;0.006389241399538042
139;52;2721;-0.004548251740886234
140;52;2740;-0.006339485100784272
141;52;2741;0.010887736841670506
142;53;2741;-0.00612831481560238
143;53;2742;0.00612831481560238
144;54;2722;1.2118764949220755e-05
145;54;2743;-5.4583522529909115e-05
146;54;2744;4.246475758068836e-05
147;55;2723;0.00010256910786665034
148;55;2744;-0.00042320466351752553
149;55;2745;0.0003206355556508752
150;56;2724;0.00043126719284114116
151;56;2745;-0.0016122790462321887
152;56;2746;0.0011810118533910475
153;57;2725;0.0011810118533910094
154;57;2746;-0.003941883360268966
155;57;2747;0.002760871506877956
156;58;2726;0.0023161962705665457
157;58;2747;-0.006758726092399546
158;58;2748;0.004442529821833007
159;59;2727;0.0033508244817986718
160;59;2748;-0.008275040290283767
161;59;2749;0.004924215808485094
162;60;2728;0.003494138312591294
163;60;2749;-0.006896797525650431
164;60;2750;0.003402659213059137
165;61;2729;0.00230244451790422
166;61;2750;-0.0032033966823972375
167;61;2751;0.0009009521644930181
168;62;2730;0.00033945301413746803
169;62;2751;-0.0002098946420755083
170;62;2752;-0.0001295583720619597
171;63;2731;-0.0009841433977806988
172;63;2752;-0.0007264463792491845
173;63;2753;0.0017105897770298834
174;64;2732;-0.0006022530498757453
175;64;2753;-0.00412018592551473
176;64;2754;0.004722438975390476
177;65;2733;0.000985637537329255
178;65;2754;-0.00646383039162897
179;65;2755;0.005478192854299715
180;66;2734;0.0019138239974159157
181;66;2755;-0.004797486874277081
182;66;2756;0.002883662876861164
183;67;2735;0.0007873793503981805
184;67;2756;-0.0009343486537375636
185;67;2757;0.0001469693033393832
186;68;2736;-0.001584822590964949
187;68;2757;0.00029804422945728804
188;68;2758;0.0012867783615076564
189;69;2737;-0.0027237979807437783
190;69;2758;-0.0028687944784067682
191;69;2759;0.005592592459150546
192;70;2738;-0.0012641808321375019
193;70;2759;-0.006248590233374261
194;70;2760;0.007512771065511762
195;71;2739;0.0008798265907305185
196;71;2760;-0.00475662673484698
197;71;2761;0.0038768001441164606
198;72;2740;-4.9756298753769366e-05
199;72;2761;6.194732830955902e-05
200;72;2762;-1.2191029555789647e-05
201;73;2741;-0.004759422026068126
202;73;2762;0.000678989251675215
203;73;2763;0.004080432774392911
204;74;2742;-0.00612831481560238
205;74;2763;-0.005254036412147384
206;74;2764;0.011382351227749764
207;75;2764;-0.007190626827318048
208;75;2765;0.007190626827318048
209;76;2743;5.458352252988937e-05
210;76;2766;-0.0001869140843907226
211;76;2767;0.00013233056186083325
212;77;2744;0.00038073990593683716
213;77;2767;-0.0011864785893052215
214;77;2768;0.0008057386833683843
215;78;2745;0.0012916434905813129
216;78;2768;-0.003607839761147989
217;78;2769;0.0023161962705666754
218;79;2746;0.002760871506877918
219;79;2769;-0.0067587260923996405
220;79;2770;0.003997854585521715
221;80;2747;0.003997854585521588
222;80;2770;-0.0082654283757072
223;80;2771;0.004267573790185614
224;81;2748;0.0038325104684507347
225;81;2771;-0.006224033049708384
226;81;2772;0.002391522581257657
227;82;2749;0.001972581717165336
228;82;2772;-0.002068517400608868
229;82;2773;9.593568344353261e-05
230;83;2750;-0.00019926253066189931
231;83;2773;1.9642639456754796e-05
232;83;2774;0.00017961989120514457
233;84;2751;-0.0006910575224175115
234;84;2774;-0.002214889047330326
235;84;2775;0.0029059465697478374
236;85;2752;0.0008560047513111441
237;85;2775;-0.005831569745592178
238;85;2776;0.004975564994281037
239;86;2753;0.0024095961484848468
240;86;2776;-0.005947961930219488
241;86;2777;0.0035383657817346465
242;87;2754;0.0017413914162384947
243;87;2777;-0.002231029563432148
244;87;2778;0.0004896381471936535
245;88;2755;-0.0006807059800226323
246;88;2778;0.0002258348952806302
247;88;2779;0.0004548710847420021
248;89;2756;-0.0019493142231235996
249;89;2779;-0.002167104855041142
250;89;2780;0.004116419078164743
251;90;2757;-0.00044501353279667117
252;90;2780;-0.00597438597170271
253;90;2781;0.0064193995044993825
254;91;2758;0.0015820161168991114
255;91;2781;-0.005285779689758012
256;91;2782;0.0037037635728589023
257;92;2759;0.0006559977742237146
258;92;2782;-0.000787809079493386
259;92;2783;0.00013181130526967143
260;93;2760;-0.0027561443306647823
261;93;2783;0.0004606108279557562
262;93;2784;0.002295533502709026
263;94;2761;-0.003938747472426021
264;94;2784;-0.004024996213724956
265;94;2785;0.007963743686150975
266;95;2762;-0.0006667982221194253
267;95;2785;-0.006850712930258378
268;95;2786;0.007517511152377799
269;96;2763;0.0011736036377544743
270;96;2786;-0.00220169809710009
271;96;2787;0.001028094459345616
272;97;2764;-0.004191724400431716
273;97;2787;0.0016949831611251687
274;97;2788;0.002496741239306547
275;98;2765;-0.007190626827318049
276;98;2788;-0.004282994973288123
277;98;2789;0.011473621800606171
278;99;2789;-0.008006588446133167
279;99;2790;0.008006588446133167
280;100;2766;0.00018691408439072265
281;100;2791;-0.0005165742888388387
282;100;2792;0.00032966020444811605
283;101;2767;0.0010541480274443883
284;101;2792;-0.002626080093105636
285;101;2793;0.0015719320656612512
286;102;2768;0.0028021010777796052
287;102;2793;-0.006152925559578474
288;102;2794;0.0033508244817988695
289;103;2769;0.004442529821832965
290;103;2794;-0.00827504029028385
291;103;2795;0.0038325104684508848
292;104;2770;0.004267573790185484
293;104;2795;-0.006224033049708385
294;104;2796;0.001956459259522903
295;105;2771;0.0019564592595227694
296;105;2796;-0.0017371803408746246
297;105;2797;-0.00021927891864814437
298;106;2772;-0.0003230051806487774
299;106;2797;-9.421780039107382e-05
300;106;2798;0.00041722298103985913
301;107;2773;-0.00011557832290028741
302;107;2798;-0.003218949218243794
303;107;2799;0.0033345275411440813
304;108;2774;0.0020352691561251884
305;108;2799;-0.006421332762540952
