vertex_index;vertex_x;vertex_y;ldos
0;50.0;-29.44486372867091;7.027257797790968e-14
1;48.5;-30.310889132455348;2.608350634602447e-11
2;47.0;-31.176914536239785;2.6458935570809615e-09
3;45.5;-32.042939940024226;1.2850716590998932e-07
4;44.0;-32.90896534380867;3.7375870210631406e-06
5;42.5;-33.7749907475931;7.334042721406885e-05
6;41.0;-34.64101615137755;0.0010446967785797921
7;39.5;-35.50704155516198;0.0113449696461453
8;38.0;-36.37306695894642;0.09723395842410185
9;36.5;-37.23909236273086;0.6746207658272328
10;35.0;-38.1051177665153;3.861926442698918
11;33.5;-38.97114317029973;18.50694086651592
12;32.0;-39.837168574084174;75.06208046447256
13;30.5;-40.703193977868615;259.79075930118876
14;29.0;-41.56921938165305;771.7899322942138
15;27.5;-42.43524478543749;1975.723264029723
16;26.0;-43.30127018922193;4367.136487201975
17;24.5;-44.167295593006365;8338.599394139192
18;23.0;-45.033320996790806;13740.657367440635
19;21.5;-45.89934640057525;19508.76309114315
20;20.0;-46.76537180435968;23850.52853492044
21;18.5;-47.63139720814412;25228.02606923021
22;17.0;-48.49742261192856;23545.432805549033
23;15.5;-49.363448015713;20345.6693083551
24;14.0;-50.22947341949744;17488.3244157855
25;12.5;-51.09549882328188;15462.602836111875
26;11.0;-51.96152422706631;13206.522974467518
27;9.5;-52.827549630850754;9710.661314317153
28;8.0;-53.693575034635195;5472.9763922392185
29;6.5;-54.55960043841963;2038.3415244716884
30;5.0;-55.42562584220407;345.92449110882103
31;50.0;-27.712812921102035;7.027257794063332e-14
32;48.5;-28.578838324886473;2.34481357740189e-11
33;47.0;-29.44486372867091;2.1468679224922636e-09
34;45.5;-30.31088913245535;9.428936793624873e-08
35;44.0;-31.17691453623979;2.4804179180587477e-06
36;42.5;-32.042939940024226;4.397170360095005e-05
37;41.0;-32.90896534380867;0.0005645072870416445
38;39.5;-33.77499074759311;0.005504827484290465
39;38.0;-34.64101615137755;0.04215511703096429
40;36.5;-35.50704155516198;0.2596276285610425
41;35.0;-36.373066958946424;1.3083427287357634
42;33.5;-37.239092362730865;5.4606147861385335
43;32.0;-38.1051177665153;19.02701971247847
44;30.5;-38.97114317029974;55.578351012977805
45;29.0;-39.83716857408418;136.12571112872695
46;27.5;-40.703193977868615;278.35936137019183
47;26.0;-41.569219381653056;470.4555916635931
48;24.5;-42.4352447854375;645.466124174132
49;23.0;-43.30127018922193;699.402712722656
