edge_index;vertex_1_index;vertex_2_index;probabilitycurrent
0;0;1450;-1.8271505147416526e-05
1;0;1451;1.8271505147416526e-05
2;1;1451;-0.0001486486922184105
3;1;1452;0.00014864869221841088
4;2;1452;-0.0006214689612818571
5;2;1453;0.0006214689612818572
6;3;1453;-0.0017578681094135482
7;3;1454;0.0017578681094135482
8;4;1454;-0.003732181696383066
9;4;1455;0.003732181696383066
10;5;1455;-0.006238552610637495
11;5;1456;0.006238552610637466
12;6;1456;-0.008360918747268156
13;6;1457;0.008360918747268157
14;7;1457;-0.008921351268382515
15;7;1458;0.008921351268382338
16;8;1458;-0.007232464896564088
17;8;1459;0.0072324648965640895
18;9;1459;-0.0037458246674228132
19;9;1460;0.0037458246674228132
20;10;1450;1.8271505147416526e-05
21;10;1461;-0.00014864869221840432
22;10;1462;0.00013037718707098776
23;11;1451;0.00013037718707099397
24;11;1462;-0.0009303125698403303
25;11;1463;0.0007999353827693363
26;12;1452;0.0004728202690634463
27;12;1463;-0.002901011069585429
28;12;1464;0.002428190800521983
29;13;1453;0.0011363991481316911
30;13;1464;-0.005836031443153079
31;13;1465;0.004699632295021388
32;14;1454;0.0019743135869695182
33;14;1465;-0.008164866991563581
34;14;1466;0.006190553404594064
35;15;1455;0.0025063709142544295
36;15;1466;-0.007858844257983014
37;15;1467;0.005352473343728584
38;16;1456;0.00212236613663069
39;16;1467;-0.004532413022885417
40;16;1468;0.00241004688625474
41;17;1457;0.0005604325211143581
42;17;1468;-0.000636397570219307
43;17;1469;7.596504910494886e-05
44;18;1458;-0.0016888863718182512
45;18;1469;0.00022892378892076917
46;18;1470;0.001459962582897482
47;19;1459;-0.0034866402291412763
48;19;1470;-0.0030140359703957767
49;19;1471;0.006500676199537053
50;20;1460;-0.0037458246674228132
51;20;1471;-0.0069839133557957
52;20;1472;0.010729738023218513
53;21;1472;-0.0064921620242505505
54;21;1473;0.0064921620242505505
55;22;1461;0.0001486486922184042
56;22;1474;-0.0006214689612818139
57;22;1475;0.0004728202690634098
58;23;1462;0.0007999353827693427
59;23;1475;-0.002901011069585376
60;23;1476;0.002101075686816033
61;24;1463;0.0021010756868160905
62;24;1476;-0.006418040739301319
63;24;1477;0.00431696505248523
64;25;1464;0.0034078406426310947
65;25;1477;-0.008365322534295047
66;25;1478;0.004957481891663959
67;26;1465;0.0034652346965421926
68;26;1478;-0.0062599124057941095
69;26;1479;0.0027946777092519182
70;27;1466;0.0016682908533889502
71;27;1479;-0.0017745591717808478
72;27;1480;0.00010626831839189756
73;28;1467;-0.0008200603208431687
74;28;1480;7.66976411748677e-05
75;28;1481;0.0007433626796683008
76;29;1468;-0.0017736493160354341
77;29;1481;-0.0030236164380015662
78;29;1482;0.004797265754036989
79;30;1469;-0.00030488883802571795
80;30;1482;-0.006908475743002132
81;30;1483;0.00721336458102792
82;31;1470;0.0015540733874982943
83;31;1483;-0.0057652358856565555
84;31;1484;0.00421116249815826
85;32;1471;0.00048323715625864716
86;32;1484;-0.0006071286022563192
87;32;1485;0.00012389144599767217
88;33;1472;-0.004237575998967962
89;33;1485;0.0007071445953325153
90;33;1486;0.003530431403635447
91;34;1473;-0.006492162024250551
92;34;1486;-0.005408783864522015
93;34;1487;0.011900945888772566
94;35;1487;-0.008305050454719437
95;35;1488;0.008305050454719437
96;36;1474;0.0006214689612818139
97;36;1489;-0.0017578681094134018
98;36;1490;0.001136399148131588
99;37;1475;0.0024281908005219658
100;37;1490;-0.005836031443152957
101;37;1491;0.0034078406426309915
102;38;1476;0.004316965052485287
103;38;1491;-0.008365322534295037
104;38;1492;0.004048357481809749
105;39;1477;0.0040483574818098176
106;39;1492;-0.005644209348459961
107;39;1493;0.001595851866650144
108;40;1478;0.0013024305141301506
109;40;1493;-0.0008663429334728033
110;40;1494;-0.0004360875806573468
111;41;1479;-0.0010201185374710705
112;41;1494;-0.0007650790692400118
113;41;1495;0.0017851976067110825
114;42;1480;-0.0001829659595667653
115;42;1495;-0.0053467838919242765
116;42;1496;0.005529749851491043
117;43;1481;0.0022802537583332654
118;43;1496;-0.0071104915065264935
119;43;1497;0.004830237748193228
120;44;1482;0.0021112099889651417
121;44;1497;-0.002818705347658085
122;44;1498;0.000707495358692943
123;45;1483;-0.001448128695371365
124;45;1498;0.0004647759812992324
125;45;1499;0.0009833527140721326
126;46;1484;-0.0036040338959019407
127;46;1499;-0.003350472899126323
128;46;1500;0.006954506795028264
129;47;1485;-0.0008310360413301874
130;47;1500;-0.00785844647635742
131;47;1501;0.008689482517687605
132;48;1486;0.0018783524608865696
133;48;1501;-0.003933974963533052
134;48;1502;0.002055622502646483
135;49;1487;-0.0035958954340531302
136;49;1502;0.0017885104257273608
137;49;1503;0.0018073850083257692
138;50;1488;-0.008305050454719435
139;50;1503;-0.0041743215175559165
140;50;1504;0.012479371972275352
141;51;1504;-0.009762220459495414
142;51;1505;0.009762220459495416
143;52;1489;0.0017578681094134148
144;52;1506;-0.0037321816963827503
145;52;1507;0.001974313586969336
146;53;1490;0.004699632295021369
