vertex_index;vertex_x;vertex_y;ldos
0;96.5;-58.02370205355739;1.1358716816119766e-05
1;98.0;-55.42562584220407;2.6828039562370827e-05
2;96.5;-56.29165124598851;1.1358716816119788e-05
3;95.0;-57.15767664977295;1.1358716816119747e-05
4;93.5;-58.023702053557386;3.6865510864293e-05
5;98.0;-53.69357503463519;2.682803956237084e-05
6;96.5;-54.55960043841963;3.2736010286441235e-06
7;95.0;-55.42562584220407;4.543486726447908e-05
8;93.5;-56.291651245988504;7.297713135971529e-06
9;92.0;-57.157676649772945;3.686551086429294e-05
10;90.5;-58.023702053557386;7.240221649575432e-05
11;96.5;-52.82754963085076;4.8844564365910134e-05
12;95.0;-53.6935750346352;2.43170248579095e-05
13;93.5;-54.559600438419636;1.631441857604699e-05
14;92.0;-55.42562584220408;7.696773118440928e-05
15;90.5;-56.29165124598852;5.940195717737733e-06
16;89.0;-57.15767664977295;7.240221649575423e-05
17;87.5;-58.02370205355739;0.00011737355360743954
18;96.5;-51.09549882328188;4.8844564365910195e-05
19;95.0;-51.96152422706632;4.233960921096274e-06
20;93.5;-52.827549630850754;8.046701156376107e-05
21;92.0;-53.693575034635195;2.2410892303258128e-05
22;90.5;-54.559600438419636;4.0143297256346584e-05
23;89.0;-55.42562584220407;0.00011981931356269114
24;87.5;-56.29165124598851;5.405431500024203e-06
25;86.0;-57.15767664977295;0.00011737355360743941
26;84.5;-58.023702053557386;0.00017180382094729188
27;95.0;-50.22947341949744;8.184002571610342e-05
28;93.5;-51.09549882328187;4.778516652598032e-05
29;92.0;-51.96152422706631;1.7946460216967485e-05
30;90.5;-52.827549630850754;0.0001225424254566425
31;89.0;-53.69357503463519;2.1255115399381246e-05
32;87.5;-54.55960043841963;7.432582201544253e-05
33;86.0;-55.42562584220407;0.00017315575371917313
34;84.5;-56.291651245988504;5.168748010255498e-06
35;83.0;-57.157676649772945;0.00017180382094729167
36;81.5;-58.023702053557386;0.0002357942371871769
37;95.0;-48.49742261192857;8.184002571610351e-05
38;93.5;-49.363448015713004;4.553384749995195e-06
39;92.0;-50.229473419497445;0.00012430037574852841
40;90.5;-51.095498823281886;4.669756915980185e-05
41;89.0;-51.96152422706632;4.172593080893936e-05
42;87.5;-52.82754963085076;0.0001750744320943786
43;86.0;-53.6935750346352;2.0590026911121085e-05
44;84.5;-54.559600438419636;0.00011849145208292401
