edge_index;vertex_1_index;vertex_2_index;current
0;0;1291;-2.7507037387260106e-13
1;0;1292;2.7507037387260086e-13
2;1;1292;-5.655292967724107e-12
3;1;1293;5.655292965861943e-12
4;2;1293;-5.904810229979799e-11
5;2;1294;5.904810229979799e-11
6;3;1294;-4.169865033093254e-10
7;3;1295;4.169865033093254e-10
8;4;1295;-2.2373020410248405e-09
9;4;1296;2.2373020410248405e-09
10;5;1296;-9.712789308439098e-09
11;5;1297;9.712789296071822e-09
12;6;1297;-3.547841770335633e-08
13;6;1298;3.547841770335636e-08
14;7;1298;-1.1195314347871307e-07
15;7;1299;1.1195314347871286e-07
16;8;1299;-3.1095049253999245e-07
17;8;1300;3.1095049253999203e-07
18;9;1300;-7.707230426124595e-07
19;9;1301;7.707230426891257e-07
20;10;1301;-1.7223650142735859e-06
21;10;1302;1.7223650142735859e-06
22;11;1302;-3.4973316913261596e-06
23;11;1303;3.4973316913261596e-06
24;12;1303;-6.490000987396268e-06
25;12;1304;6.490000987396272e-06
26;13;1304;-1.1052554163334689e-05
27;13;1305;1.1052554162137777e-05
28;14;1305;-1.7321977586979634e-05
29;14;1306;1.732197758697962e-05
30;15;1306;-2.5020167647954453e-05
31;15;1307;2.5020167647954453e-05
32;16;1307;-3.3312618766656086e-05
33;16;1308;3.33126187666561e-05
34;17;1308;-4.0830509561118846e-05
35;17;1309;4.083050955787817e-05
36;18;1309;-4.592719050391913e-05
37;18;1310;4.592719050391913e-05
38;19;1310;-4.7147056829488124e-05
39;19;1311;4.714705682948812e-05
40;20;1311;-4.376424748351041e-05
41;20;1312;4.3764247483510407e-05
42;21;1312;-3.6164528520927274e-05
43;21;1313;3.616452852129334e-05
44;22;1313;-2.5860345477154798e-05
45;22;1314;2.5860345477154872e-05
46;23;1314;-1.5066453555638957e-05
47;23;1315;1.5066453555638916e-05
48;24;1315;-5.97030954839961e-06
49;24;1316;5.970309548399607e-06
50;25;1291;2.7507037387260106e-13
51;25;1317;-5.655292983834432e-12
52;25;1318;5.380222609961831e-12
53;26;1292;5.380222593851506e-12
54;26;1318;-1.0503146622903282e-10
55;26;1319;9.965124363518143e-11
56;27;1293;5.339280933393599e-11
57;27;1319;-9.875418022968045e-10
58;27;1320;9.341489929628683e-10
59;28;1294;3.5793840100952784e-10
60;28;1320;-6.255710121843721e-09
61;28;1321;5.897771720834197e-09
62;29;1295;1.8203155377155155e-09
63;29;1321;-2.9968022619308544e-08
64;29;1322;2.8147707081593034e-08
65;30;1296;7.475487267414256e-09
66;30;1322;-1.1551407212589748e-07
67;30;1323;1.0803858485848314e-07
68;31;1297;2.5765628407284538e-08
69;31;1323;-3.721579847197485e-07
70;31;1324;3.463923563124643e-07
71;32;1298;7.647472577535663e-08
72;32;1324;-1.0276092098581172e-06
73;32;1325;9.511344840827609e-07
74;33;1299;1.9899734906127938e-07
75;33;1325;-2.473888334858376e-06
76;33;1326;2.2748909857970976e-06
77;34;1300;4.597725500724679e-07
78;34;1326;-5.253940327406972e-06
79;34;1327;4.794167777334503e-06
80;35;1301;9.516419715844597e-07
81;35;1327;-9.9194653107827e-06
82;35;1328;8.967823339198232e-06
83;36;1302;1.7749666770525754e-06
84;36;1328;-1.6720960243557204e-05
85;36;1329;1.4945993566504624e-05
86;37;1303;2.992669296070112e-06
87;37;1329;-2.51920132579792e-05
88;37;1330;2.21993439619091e-05
89;38;1304;4.562553175938417e-06
90;38;1330;-3.383539661586044e-05
91;38;1331;2.9272843439922038e-05
92;39;1305;6.2694234248418575e-06
93;39;1331;-4.0214272418591935e-05
94;39;1332;3.3944848993750043e-05
95;40;1306;7.698190060974828e-06
96;40;1332;-4.1672119159701336e-05
97;40;1333;3.397392909872651e-05
98;41;1307;8.29245111870163e-06
99;41;1333;-3.659014983883699e-05
100;41;1334;2.829769872013535e-05
101;42;1308;7.517890794462732e-06
102;42;1334;-2.564998063552007e-05
103;42;1335;1.8132089841057342e-05
104;43;1309;5.096680946040949e-06
105;43;1335;-1.22875822428185e-05
106;43;1336;7.1909012967775446e-06
107;44;1310;1.2198663255690034e-06
108;44;1336;-1.711451379120501e-06
109;44;1337;4.915850535514985e-07
110;45;1311;-3.3828093459777106e-06
111;45;1337;1.4109937067998544e-06
112;45;1338;1.97181563917786e-06
113;46;1312;-7.599718962583131e-06
114;46;1338;-4.4463206538157736e-06
115;46;1339;1.204603961639891e-05
116;47;1313;-1.030418304413855e-05
117;47;1339;-1.63397433577446e-05
118;47;1340;2.664392640188312e-05
119;48;1314;-1.0793891921515923e-05
120;48;1340;-2.7915209825974456e-05
121;48;1341;3.870910174749035e-05
