vertex_index;vertex_x;vertex_y;ldos
0;45.5;-26.846787517317594;4.3277338023137014e-05
1;44.0;-27.71281292110203;0.0014061100737729135
2;42.5;-28.57883832488647;0.011958912053724886
3;41.0;-29.44486372867091;0.044572851257428624
4;39.5;-30.310889132455348;0.08487750635069834
5;38.0;-31.176914536239785;0.08128213682658685
6;36.5;-32.042939940024226;0.028822501714891997
7;45.5;-25.11473670974872;4.3277338023137075e-05
8;44.0;-25.980762113533157;0.0009560206072361634
9;42.5;-26.846787517317594;0.005163669382954525
10;41.0;-27.712812921102035;0.010356323598191398
11;39.5;-28.578838324886473;0.006434383593836765
12;38.0;-29.44486372867091;3.890293456947985e-05
13;36.5;-30.310889132455348;0.013300619449823652
14;35.0;-31.17691453623979;0.028822501714891983
15;33.5;-32.042939940024226;0.014637807419780128
16;45.5;-23.382685902179844;4.327733802313738e-05
17;44.0;-24.24871130596428;0.000592485816745688
18;42.5;-25.11473670974872;0.0016760093810294192
19;41.0;-25.98076211353316;0.0008944494242109725
20;39.5;-26.846787517317598;0.0004644634534743049
21;38.0;-27.712812921102035;0.007473919136201865
22;36.5;-28.578838324886473;0.011900865888644354
23;35.0;-29.444863728670914;0.0029641055028444647
24;33.5;-30.31088913245535;0.002379986377475019
25;32.0;-31.17691453623979;0.014637807419780127
26;30.5;-32.04293994002423;0.009869710153642075
27;45.5;-21.650635094610962;4.327733802313835e-05
28;44.0;-22.5166604983954;0.0003155057023014865
29;42.5;-23.382685902179837;0.0002754956624087294
30;41.0;-24.248711305964278;0.00012169942479162854
31;39.5;-25.114736709748716;0.0026480041367156564
32;38.0;-25.980762113533153;0.004212064142206598
33;36.5;-26.84678751731759;0.0005125360282380937
34;35.0;-27.71281292110203;0.0029863482273094423
35;33.5;-28.57883832488647;0.010656165192377049
36;32.0;-29.444863728670907;0.005213085879618308
37;30.5;-30.310889132455348;0.000468306561572313
38;29.0;-31.176914536239785;0.009869710153642073
39;27.5;-32.042939940024226;0.008058597916356632
40;45.5;-19.918584287042087;4.327733802314024e-05
41;44.0;-20.784609690826525;0.00012508026390355693
42;42.5;-21.650635094610962;1.3558696904391217e-06
43;41.0;-22.516660498395403;0.0007634063030183937
44;39.5;-23.38268590217984;0.0016343435652344776
45;38.0;-24.248711305964278;0.00018067810535857712
46;36.5;-25.114736709748716;0.0017860055225691713
47;35.0;-25.980762113533157;0.005973241593816254
48;33.5;-26.846787517317594;0.002360134232268303
49;32.0;-27.71281292110203;0.0009626747655109045
50;30.5;-28.578838324886473;0.008806338727746745
51;29.0;-29.44486372867091;0.006038226010648657
52;27.5;-30.310889132455348;9.171358795882112e-05
53;26.0;-31.17691453623979;0.008058597916356628
54;24.5;-32.042939940024226;0.007405286192562033
55;45.5;-18.186533479473212;4.327733802314288e-05
56;44.0;-19.05255888325765;2.120950155190088e-05
57;42.5;-19.918584287042087;0.00015248167361135468
58;41.0;-20.784609690826528;0.0007004168708522799
59;39.5;-21.650635094610966;0.00016376850844025884
60;38.0;-22.516660498395403;0.0007282096374032347
61;36.5;-23.38268590217984;0.003102803505366311
62;35.0;-24.24871130596428;0.0012267919962347473
63;33.5;-25.11473670974872;0.0008240078198740157
64;32.0;-25.980762113533157;0.006337467630940278
65;30.5;-26.846787517317598;0.003945736041600999
66;29.0;-27.712812921102035;0.0002603728081631337
67;27.5;-28.578838324886473;0.007618277426310404
68;26.0;-29.444863728670914;0.006430912854988838
69;24.5;-30.31088913245535;1.3806584012204143e-05
70;23.0;-31.17691453623979;0.007405286192562027
71;21.5;-32.04293994002423;0.0072984029351307305
72;45.5;-16.454482671904337;4.3277338023145484e-05
73;44.0;-17.320508075688775;3.893415246524861e-06
74;42.5;-18.186533479473212;0.00028742877304709655
75;41.0;-19.052558883257653;0.00019929090468826218
76;39.5;-19.91858428704209;0.00018681922653357097
77;38.0;-20.784609690826528;0.001582652616630853
78;36.5;-21.650635094610966;0.0008246921914562743
79;35.0;-22.516660498395407;0.0004275475745389085
