vertex_index;vertex_x;vertex_y;ldos
0;29.0;-19.052558883257646;0.0016523813251679822
1;27.5;-19.918584287042084;0.023598477304746426
2;26.0;-20.784609690826525;0.12559852954815984
3;24.5;-21.650635094610962;0.34773697115855534
4;23.0;-22.5166604983954;0.5413690140219811
5;21.5;-23.38268590217984;0.44976448237407973
6;20.0;-24.248711305964278;0.1440177890930359
7;30.5;-16.454482671904334;5.4007206770070846e-05
8;29.0;-17.32050807568877;0.0016523813251679816
9;27.5;-18.18653347947321;0.012761874171478492
10;26.0;-19.05255888325765;0.04031295753342561
11;24.5;-19.918584287042087;0.05536300282176864
12;23.0;-20.784609690826525;0.0213409911525515
13;21.5;-21.650635094610966;0.004242308138789507
14;20.0;-22.516660498395403;0.08476719756816446
15;18.5;-23.38268590217984;0.1440177890930359
16;17.0;-24.24871130596428;0.06513165093259597
17;30.5;-14.722431864335457;5.400720677007049e-05
18;29.0;-15.588457268119894;0.001108925562737948
19;27.5;-16.454482671904334;0.0052300336885465265
20;26.0;-17.320508075688767;0.0077110183060403025
21;24.5;-18.18653347947321;0.0011911175140934046
22;23.0;-19.05255888325765;0.00795804563121999
23;21.5;-19.918584287042084;0.04461328199824903
24;20.0;-20.784609690826525;0.05108280945506292
25;18.5;-21.650635094610962;0.007805490948320983
26;17.0;-22.5166604983954;0.015447438308645567
27;15.5;-23.38268590217984;0.06513165093259597
28;14.0;-24.248711305964278;0.0393137797137857
29;30.5;-12.990381056766582;5.400720677006916e-05
30;29.0;-13.85640646055102;0.0006734842138480554
31;27.5;-14.722431864335459;0.0015224384940532177
32;26.0;-15.588457268119896;0.0002400464417040572
33;24.5;-16.454482671904334;0.0028408722700743795
34;23.0;-17.320508075688775;0.015306749532624776
35;21.5;-18.18653347947321;0.014886607442074701
36;20.0;-19.05255888325765;0.00021893641648559962
37;18.5;-19.918584287042087;0.01895203083216334
38;17.0;-20.784609690826525;0.045214244326231376
39;15.5;-21.650635094610966;0.017140389389447175
40;14.0;-22.516660498395403;0.0032412533183827493
41;12.5;-23.38268590217984;0.0393137797137857
42;11.0;-24.24871130596428;0.029166821268698098
43;30.5;-11.258330249197703;5.4007206770066265e-05
44;29.0;-12.12435565298214;0.0003460572784983075
45;27.5;-12.99038105676658;0.0001707429210186866
46;26.0;-13.856406460551018;0.0005534258913582731
47;24.5;-14.722431864335457;0.004732513431759192
48;23.0;-15.588457268119896;0.004959063080502451
49;21.5;-16.454482671904334;2.923290742870425e-06
50;20.0;-17.32050807568877;0.011494881599641214
51;18.5;-18.18653347947321;0.02324492832628255
52;17.0;-19.05255888325765;0.005620506651227493
53;15.5;-19.918584287042087;0.006677358146512699
54;14.0;-20.784609690826525;0.035288868336620566
