edge_index;vertex_1_index;vertex_2_index;probabilitycurrent
0;0;2914;-8.636419157040216e-05
1;0;2915;8.636419157040216e-05
2;1;2915;-0.00027628073550477384
3;1;2916;0.0002762807355047738
4;2;2916;-0.00042097253097294333
5;2;2917;0.0004209725309729433
6;3;2917;-0.0003289542274889175
7;3;2918;0.0003289542274889175
8;4;2914;8.636419157040216e-05
9;4;2919;-0.0002762807355047739
10;4;2920;0.0001899165439343717
11;5;2915;0.00018991654393437168
12;5;2920;-0.00041763018913427866
13;5;2921;0.00022771364519990695
14;6;2916;0.00014469179546816957
15;6;2921;-0.0001734882885609061
16;6;2922;2.8796493092736537e-05
17;7;2917;-9.20183034840258e-05
18;7;2922;1.8313439487769774e-05
19;7;2923;7.370486399625603e-05
20;8;2918;-0.00032895422748891747
21;8;2923;-0.0002634859118248481
22;8;2924;0.0005924401393137657
23;9;2924;-0.0005561061890848526
24;9;2925;0.0005561061890848527
25;10;2919;0.0002762807355047739
26;10;2926;-0.00042097253097294354
27;10;2927;0.00014469179546816967
28;11;2920;0.00022771364519990695
29;11;2927;-0.0001734882885609062
30;11;2928;-5.4225356639000724e-05
31;12;2921;-5.422535663900075e-05
32;12;2928;-2.3682012610098656e-05
33;12;2929;7.790736924909942e-05
34;13;2922;-4.710993258050632e-05
35;13;2929;-0.0004077736573336939
36;13;2930;0.0004548835899142002
37;14;2923;0.00018978104782859203
38;14;2930;-0.00045531755581222383
39;14;2931;0.0002655365079836317
40;15;2924;-3.633395022891299e-05
41;15;2931;2.260981142508091e-05
42;15;2932;1.3724138803832084e-05
43;16;2925;-0.0005561061890848526
44;16;2932;-0.0002100536407571046
45;16;2933;0.0007661598298419573
46;17;2933;-0.0007915485087735127
47;17;2934;0.0007915485087735128
48;18;2926;0.0004209725309729433
49;18;2935;-0.00032895422748891747
50;18;2936;-9.201830348402578e-05
51;19;2927;2.879649309273651e-05
52;19;2936;1.8313439487769743e-05
53;19;2937;-4.710993258050625e-05
54;20;2928;7.790736924909937e-05
55;20;2937;-0.00040777365733369393
56;20;2938;0.00032986628808459454
57;21;2929;0.0003298662880845945
58;21;2938;-0.00042455835901449924
59;21;2939;9.469207092990474e-05
60;22;2930;4.3396589802357024e-07
61;22;2939;-1.1167351368337549e-07
62;22;2940;-3.2229238434019477e-07
63;23;2931;-0.0002881463194087126
64;23;2940;-0.00036694221070986946
65;23;2941;0.0006550885301185821
66;24;2932;0.0001963295019532725
67;24;2941;-0.0007353334497899988
68;24;2942;0.0005390039478367262
69;25;2933;2.5388678931555454e-05
70;25;2942;-1.910985184731374e-05
71;25;2943;-6.27882708424171e-06
72;26;2934;-0.0007915485087735127
73;26;2943;-0.00019575639318519583
74;26;2944;0.0009873049019587085
75;27;2944;-0.0010624985098101184
76;27;2945;0.0010624985098101184
77;28;2935;0.00032895422748891747
78;28;2946;-0.00032895422748891747
79;29;2936;7.370486399625602e-05
80;29;2946;-0.0002634859118248481
81;29;2947;0.00018978104782859208
82;30;2937;0.00045488358991420017
83;30;2947;-0.0004553175558122239
84;30;2948;4.339658980237639e-07
85;31;2938;9.469207092990464e-05
86;31;2948;-1.116735136834252e-07
87;31;2949;-9.45803974162212e-05
88;32;2939;-9.458039741622129e-05
89;32;2949;-0.00042355755786992644
90;32;2950;0.0005181379552861476
91;33;2940;0.0003672645030942097
92;33;2950;-0.0006971453979472568
93;33;2951;0.0003298808948530471
94;34;2941;8.024491967141667e-05
95;34;2951;-4.0373224190418916e-05
96;34;2952;-3.987169548099775e-05
97;35;2942;-0.0005198940959894126
98;35;2952;-0.0003524150271730707
99;35;2953;0.0008723091231624837
100;36;2943;0.00020203522026943755
101;36;2953;-0.0010317189600390925
102;36;2954;0.0008296837397696545
103;37;2944;7.519360785141002e-05
104;37;2954;-6.122532198191927e-05
105;37;2955;-1.3968285869490746e-05
106;38;2945;-0.0010624985098101184
107;38;2955;-0.00019737426285308045
108;38;2956;0.001259872772663199
109;39;2956;-0.0013751319270008775
110;39;2957;0.0013751319270008775
111;40;2946;0.0005924401393137655
112;40;2958;-0.0005561061890848526
113;40;2959;-3.6333950228913e-05
114;41;2947;0.00026553650798363175
