energy;conductance
-0.1;0.984
-0.0998;0.985
-0.0996;0.985
-0.0994;0.985
-0.0992;0.985
-0.099;0.985
-0.0988;0.985
-0.0986;0.985
-0.0984;0.986
-0.0982;0.986
-0.098;0.986
-0.0978;0.986
-0.0976;0.986
-0.0974;0.986
-0.0972;0.986
-0.097;0.986
-0.0968;0.987
-0.0966;0.987
-0.0964;0.987
-0.0962;0.987
-0.096;0.987
-0.0958;0.987
-0.0956;0.987
-0.0954;0.988
-0.0952;0.988
-0.095;0.988
-0.0948;0.988
-0.0946;0.988
-0.0944;0.988
-0.0942;0.988
-0.094;0.989
-0.0938;0.989
-0.0936;0.989
-0.0934;0.989
-0.0932;0.989
-0.093;0.989
-0.0928;0.989
-0.0926;0.99
-0.0924;0.99
-0.0922;0.99
-0.092;0.99
-0.0918;0.99
-0.0916;0.99
-0.0914;0.99
-0.0912;0.991
-0.091;0.991
-0.0908;0.991
-0.0906;0.991
-0.0904;0.991
-0.0902;0.991
-0.09;0.991
-0.0898;0.992
-0.0896;0.992
-0.0894;0.992
-0.0892;0.992
-0.089;0.992
-0.0888;0.992
-0.0886;0.992
-0.0884;0.993
-0.0882;0.993
-0.088;0.993
-0.0878;0.993
-0.0876;0.993
-0.0874;0.993
-0.0872;0.993
-0.087;0.994
-0.0868;0.994
-0.0866;0.994
-0.0864;0.994
-0.0862;0.994
-0.086;0.994
-0.0858;0.995
-0.0856;0.995
-0.0854;0.995
-0.0852;0.995
-0.085;0.995
-0.0848;0.995
-0.0846;0.995
-0.0844;0.996
-0.0842;0.996
-0.084;0.996
-0.0838;0.996
-0.0836;0.996
-0.0834;0.996
-0.0832;0.996
-0.083;0.997
-0.0828;0.997
-0.0826;0.997
-0.0824;0.997
-0.0822;0.997
-0.082;0.997
-0.0818;0.997
-0.0816;0.997
-0.0814;0.998
-0.0812;0.998
-0.081;0.998
-0.0808;0.998
-0.0806;0.998
-0.0804;0.998
-0.0802;0.998
-0.08;0.998
-0.0798;0.999
-0.0796;0.999
-0.0794;0.999
-0.0792;0.999
-0.079;0.999
-0.0788;0.999
-0.0786;0.999
-0.0784;0.999
-0.0782;0.999
-0.078;0.999
-0.0778;0.999
-0.0776;1.0
-0.0774;1.0
-0.0772;1.0
-0.077;1.0
-0.0768;1.0
-0.0766;1.0
-0.0764;1.0
-0.0762;1.0
-0.076;1.0
-0.0758;1.0
-0.0756;1.0
-0.0754;1.0
-0.0752;1.0
-0.075;1.0
-0.0748;1.0
-0.0746;1.0
-0.0744;1.0
-0.0742;1.0
-0.074;1.0
-0.0738;1.0
-0.0736;1.0
-0.0734;1.0
-0.0732;0.999
-0.073;0.999
-0.0728;0.999
-0.0726;0.999
-0.0724;0.999
-0.0722;0.999
-0.072;0.998
-0.0718;0.998
-0.0716;0.998
-0.0714;0.998
-0.0712;0.997
-0.071;0.997
-0.0708;0.997
-0.0706;0.996
-0.0704;0.996
-0.0702;0.996
-0.07;0.995
-0.0698;0.995
-0.0696;0.994
-0.0694;0.994
-0.0692;0.993
-0.069;0.992
-0.0688;0.992
-0.0686;0.991
-0.0684;0.99
-0.0682;0.99
-0.068;0.989
-0.0678;0.988
-0.0676;0.987
-0.0674;0.986
-0.0672;0.985
-0.067;0.984
-0.0668;0.982
-0.0666;0.981
-0.0664;0.98
-0.0662;0.978
-0.066;0.977
-0.0658;0.975
-0.0656;0.973
-0.0654;0.972
-0.0652;0.97
-0.065;0.968
-0.0648;0.965
-0.0646;0.963
-0.0644;0.961
-0.0642;0.958
-0.064;0.955
-0.0638;0.952
-0.0636;0.949
-0.0634;0.946
-0.0632;0.942
-0.063;0.939
-0.0628;0.935
-0.0626;0.93
-0.0624;0.926
-0.0622;0.921
-0.062;0.916
-0.0618;0.911
-0.0616;0.905
-0.0614;0.899
-0.0612;0.893
-0.061;0.886
-0.0608;0.879
-0.0606;0.871
-0.0604;0.863
-0.0602;0.855
-0.06;0.846
-0.0598;0.836
-0.0596;0.826
-0.0594;0.815
-0.0592;0.804
-0.059;0.791
-0.0588;0.778
-0.0586;0.765
-0.0584;0.75
-0.0582;0.735
-0.058;0.719
-0.0578;0.702
-0.0576;0.684
-0.0574;0.665
-0.0572;0.645
-0.057;0.624
-0.0568;0.602
-0.0566;0.579
-0.0564;0.556
-0.0562;0.531
-0.056;0.505
-0.0558;0.479
-0.0556;0.451
-0.0554;0.424
-0.0552;0.395
-0.055;0.366
-0.0548;0.337
-0.0546;0.308
-0.0544;0.278
-0.0542;0.25
-0.054;0.221
-0.0538;0.194
-0.0536;0.167
-0.0534;0.142
-0.0532;0.119
-0.053;0.097
-0.0528;0.077
-0.0526;0.059
-0.0524;0.043
-0.0522;0.03
-0.052;0.019
-0.0518;0.01
-0.0516;0.005
-0.0514;0.001
-0.0512;0.0
-0.051;0.001
-0.0508;0.004
-0.0506;0.01
-0.0504;0.017
-0.0502;0.026
-0.05;0.036
-0.0498;0.047
-0.0496;0.06
-0.0494;0.074
-0.0492;0.088
-0.049;0.103
-0.0488;0.119
-0.0486;0.135
-0.0484;0.151
-0.0482;0.167
-0.048;0.184
-0.0478;0.2
-0.0476;0.216
-0.0474;0.233
-0.0472;0.249
-0.047;0.264
-0.0468;0.28
-0.0466;0.295
-0.0464;0.31
-0.0462;0.325
-0.046;0.339
-0.0458;0.353
-0.0456;0.366
-0.0454;0.38
-0.0452;0.392
-0.045;0.405
-0.0448;0.417
-0.0446;0.429
-0.0444;0.44
-0.0442;0.451
-0.044;0.462
-0.0438;0.472
-0.0436;0.482
-0.0434;0.492
-0.0432;0.501
-0.043;0.51
-0.0428;0.519
-0.0426;0.528
-0.0424;0.536
-0.0422;0.544
