energy;conductance_lead;conductance_junction
-0.1;1.0;0.543
-0.0998;1.0;0.544
-0.0996;1.0;0.545
-0.0994;1.0;0.546
-0.0992;1.0;0.546
-0.099;1.0;0.547
-0.0988;1.0;0.548
-0.0986;1.0;0.548
-0.0984;1.0;0.549
-0.0982;1.0;0.55
-0.098;1.0;0.551
-0.0978;1.0;0.551
-0.0976;1.0;0.552
-0.0974;1.0;0.553
-0.0972;1.0;0.554
-0.097;1.0;0.555
-0.0968;1.0;0.555
-0.0966;1.0;0.556
-0.0964;1.0;0.557
-0.0962;1.0;0.558
-0.096;1.0;0.558
-0.0958;1.0;0.559
-0.0956;1.0;0.56
-0.0954;1.0;0.561
-0.0952;1.0;0.562
-0.095;1.0;0.562
-0.0948;1.0;0.563
-0.0946;1.0;0.564
-0.0944;1.0;0.565
-0.0942;1.0;0.566
-0.094;1.0;0.567
-0.0938;1.0;0.567
-0.0936;1.0;0.568
-0.0934;1.0;0.569
-0.0932;1.0;0.57
-0.093;1.0;0.571
-0.0928;1.0;0.572
-0.0926;1.0;0.573
-0.0924;1.0;0.573
-0.0922;1.0;0.574
-0.092;1.0;0.575
-0.0918;1.0;0.576
-0.0916;1.0;0.577
-0.0914;1.0;0.578
-0.0912;1.0;0.579
-0.091;1.0;0.58
-0.0908;1.0;0.581
-0.0906;1.0;0.581
-0.0904;1.0;0.582
-0.0902;1.0;0.583
-0.09;1.0;0.584
-0.0898;1.0;0.585
-0.0896;1.0;0.586
-0.0894;1.0;0.587
-0.0892;1.0;0.588
-0.089;1.0;0.589
-0.0888;1.0;0.59
-0.0886;1.0;0.591
-0.0884;1.0;0.592
-0.0882;1.0;0.593
-0.088;1.0;0.594
-0.0878;1.0;0.595
-0.0876;1.0;0.596
-0.0874;1.0;0.597
-0.0872;1.0;0.598
-0.087;1.0;0.599
-0.0868;1.0;0.6
-0.0866;1.0;0.601
-0.0864;1.0;0.602
-0.0862;1.0;0.604
-0.086;1.0;0.605
-0.0858;1.0;0.606
-0.0856;1.0;0.607
-0.0854;1.0;0.608
-0.0852;1.0;0.609
-0.085;1.0;0.61
-0.0848;1.0;0.611
-0.0846;1.0;0.613
-0.0844;1.0;0.614
-0.0842;1.0;0.615
-0.084;1.0;0.616
-0.0838;1.0;0.617
-0.0836;1.0;0.618
-0.0834;1.0;0.62
-0.0832;1.0;0.621
-0.083;1.0;0.622
-0.0828;1.0;0.623
-0.0826;1.0;0.625
-0.0824;1.0;0.626
-0.0822;1.0;0.627
-0.082;1.0;0.628
-0.0818;1.0;0.63
-0.0816;1.0;0.631
-0.0814;1.0;0.632
-0.0812;1.0;0.634
-0.081;1.0;0.635
-0.0808;1.0;0.636
-0.0806;1.0;0.638
-0.0804;1.0;0.639
-0.0802;1.0;0.641
-0.08;1.0;0.642
-0.0798;1.0;0.643
-0.0796;1.0;0.645
-0.0794;1.0;0.646
-0.0792;1.0;0.648
-0.079;1.0;0.649
-0.0788;1.0;0.651
-0.0786;1.0;0.652
-0.0784;1.0;0.654
-0.0782;1.0;0.655
-0.078;1.0;0.657
-0.0778;1.0;0.659
-0.0776;1.0;0.66
-0.0774;1.0;0.662
-0.0772;1.0;0.663
-0.077;1.0;0.665
-0.0768;1.0;0.667
-0.0766;1.0;0.668
-0.0764;1.0;0.67
-0.0762;1.0;0.672
-0.076;1.0;0.674
-0.0758;1.0;0.675
-0.0756;1.0;0.677
-0.0754;1.0;0.679
-0.0752;1.0;0.681
-0.075;1.0;0.682
-0.0748;1.0;0.684
-0.0746;1.0;0.686
-0.0744;1.0;0.688
-0.0742;1.0;0.69
-0.074;1.0;0.692
-0.0738;1.0;0.694
-0.0736;1.0;0.696
-0.0734;1.0;0.698
-0.0732;1.0;0.7
-0.073;1.0;0.702
-0.0728;1.0;0.704
-0.0726;1.0;0.706
-0.0724;1.0;0.708
-0.0722;1.0;0.71
-0.072;1.0;0.712
-0.0718;1.0;0.715
-0.0716;1.0;0.717
-0.0714;1.0;0.719
-0.0712;1.0;0.721
-0.071;1.0;0.724
-0.0708;1.0;0.726
-0.0706;1.0;0.728
