edge_index;vertex_1_index;vertex_2_index;probabilitycurrent
0;0;3052;-0.0008138575331150504
1;0;3053;0.0008138575331150502
2;1;3054;-0.0013239907604642197
3;1;3055;0.00132399076046422
4;2;3052;0.0008138575331150504
5;2;3055;-0.0007903292211964995
6;2;3056;-2.3528311918550863e-05
7;3;3053;-0.0008138575331150504
8;3;3056;-2.3528311918550866e-05
9;3;3057;0.0008373858450336012
10;4;3057;-0.0014230570415594886
11;4;3058;0.0014230570415594886
12;5;3059;-0.0016417341533505954
13;5;3060;0.0016417341533505954
14;6;3054;0.0013239907604642197
15;6;3060;-0.0012631129455437894
16;6;3061;-6.0877814920430365e-05
17;7;3055;-0.00053366153926772
18;7;3061;-2.4538047687206822e-05
19;7;3062;0.0005581995869549269
20;8;3056;4.7056623837101725e-05
21;8;3062;-0.0016533379768594461
22;8;3063;0.0016062813530223446
23;9;3057;0.0005856711965258873
24;9;3063;-0.0005617199810345903
25;9;3064;-2.3951215491297015e-05
26;10;3058;-0.0014230570415594886
27;10;3064;-5.819638401372599e-05
28;10;3065;0.0014812534255732146
29;11;3065;-0.001961177158810311
30;11;3066;0.001961177158810311
31;12;3067;-0.0018180684560673136
32;12;3068;0.0018180684560673138
33;13;3059;0.0016417341533505954
34;13;3068;-0.0015383373609360088
35;13;3069;-0.00010339679241458679
36;14;3060;-0.00037862120780680593
37;14;3069;-2.3845650251877455e-05
38;14;3070;0.00040246685805868333
39;15;3061;8.54158626076372e-05
40;15;3070;-0.0018838522932146011
41;15;3071;0.0017984364306069638
42;16;3062;0.001095138389904519
43;16;3071;-0.0010136220721094487
44;16;3072;-8.15163177950705e-05
45;17;3063;-0.0010445613719877542
46;17;3072;-8.002939535784556e-05
47;17;3073;0.0011245907673455998
48;18;3064;8.214759950502299e-05
49;18;3073;-0.0020741862151874156
50;18;3074;0.001992038615682393
51;19;3065;0.0004799237332370966
52;19;3074;-0.00045723738923326594
53;19;3075;-2.2686344003830622e-05
54;20;3066;-0.001961177158810311
55;20;3075;-9.270627100920124e-05
56;20;3076;0.0020538834298195127
57;21;3076;-0.0024820310046048417
58;21;3077;0.0024820310046048412
59;22;3078;-0.0018748116438794165
60;22;3079;0.0018748116438794165
61;23;3067;0.0018180684560673138
62;23;3079;-0.0016665209007092918
63;23;3080;-0.00015154755535802213
64;24;3068;-0.00027973109513130515
65;24;3080;-2.331736381174089e-05
66;24;3081;0.000303048458943046
67;25;3069;0.00012724244266646426
68;25;3081;-0.002050915906522852
69;25;3082;0.001923673463856388
70;26;3070;0.0014813854351559165
71;26;3082;-0.0013269252959184448
72;26;3083;-0.00015446013923747185
73;27;3071;-0.0007848143584975151
74;27;3083;-8.57170168924826e-05
75;27;3084;0.0008705313753899977
76;28;3072;0.00016154571315291606
77;28;3084;-0.0022281500363529236
78;28;3085;0.0020666043232000072
79;29;3073;0.0009495954478418158
80;29;3085;-0.00086448117742863
81;29;3086;-8.511427041318583e-05
82;30;3074;-0.001534801226449127
83;30;3086;-0.00014324051870410605
84;30;3087;0.0016780417451532333
85;31;3075;0.00011539261501303184
86;31;3087;-0.0025427628729103318
87;31;3088;0.0024273702578972997
88;32;3076;0.0004281475747853289
89;32;3088;-0.00040652271799421284
90;32;3089;-2.162485679111603e-05
91;33;3077;-0.0024820310046048412
92;33;3089;-0.00012536230072680244
93;33;3090;0.002607393305331644
94;34;3090;-0.0030102885417794996
95;34;3091;0.003010288541779499
96;35;3092;-0.001818068456067314
97;35;3093;0.0018180684560673136
98;36;3078;0.0018748116438794165
99;36;3093;-0.0016665209007092913
100;36;3094;-0.00020829074317012497
101;37;3079;-0.0002082907431701247
102;37;3094;-2.3141009301920753e-05
103;37;3095;0.00023143175247204543
104;38;3080;0.00017486491916976295
105;38;3095;-0.0021365718178658673
106;38;3096;0.0019617068986961038
107;39;3081;0.0017478674475798063
108;39;3096;-0.0015087152875531485
109;39;3097;-0.00023915216002665834
110;40;3082;-0.0005967481679379432
111;40;3097;-8.705092841193455e-05
112;40;3098;0.0006837990963498777
113;41;3083;0.00024017715612995461
114;41;3098;-0.002364281465842948
115;41;3099;0.002124104309712994
116;42;3084;0.001357618660962926
117;42;3099;-0.0011822370371117933
118;42;3100;-0.00017538162385113252
119;43;3085;-0.0012021231457713774
120;43;3100;-0.00016743349587651607
121;43;3101;0.0013695566416478935
122;44;3086;0.0002283547891172919
123;44;3101;-0.0026423742243825215
124;44;3102;0.0024140194352652296
125;45;3087;0.0008647211277570989
126;45;3102;-0.0007803147793738125
127;45;3103;-8.440634838328638e-05
128;46;3088;-0.0020208475399030867
129;46;3103;-0.00020663430657986292
130;46;3104;0.0022274818464829496
131;47;3089;0.00014698715751791845
132;47;3104;-0.003045731362234788
133;47;3105;0.0028987442047168684
134;48;3090;0.00040289523644785545
135;48;3105;-0.00038201731023664335
136;48;3106;-2.087792621121209e-05
137;49;3091;-0.003010288541779499
138;49;3106;-0.0001559923681496884
139;49;3107;0.003166280909929188
140;50;3107;-0.003558287033483652
141;50;3108;0.0035582870334836514
142;51;3109;-0.0016417341533505954
143;51;3110;0.0016417341533505954
144;52;3092;0.0018180684560673138
145;52;3110;-0.001538337360936009
146;52;3111;-0.0002797310951313047
147;53;3093;-0.00015154755535802249
148;53;3111;-2.331736381174091e-05
149;53;3112;0.0001748649191697634
150;54;3094;0.0002314317524720457
151;54;3112;-0.002136571817865867
152;54;3113;0.001905140065393821
153;55;3095;0.0019051400653938223
154;55;3113;-0.0015681594869536054
155;55;3114;-0.00033698057844021664
156;56;3096;-0.0004529916111429551
157;56;3114;-8.726729143994545e-05
158;56;3115;0.0005402589025829006
159;57;3097;0.00032620308843859283
160;57;3115;-0.002454329256529469
161;57;3116;0.0021281261680908764
162;58;3098;0.0016804823694930716
163;58;3116;-0.0013956873707234039
164;58;3117;-0.0002847949987696677
165;59;3099;-0.0009418672726012003
166;59;3117;-0.0001776689117144243
167;59;3118;0.0011195361843156244
168;60;3100;0.0003428151197276486
169;60;3118;-0.0027468115843151592
170;60;3119;0.0024039964645875115
171;61;3101;0.0012728175827346276
172;61;3119;-0.0010911950049714363
173;61;3120;-0.00018162257776319134
174;62;3102;-0.0016337046558914147
175;62;3120;-0.00025517068414612824
176;62;3121;0.0018888753400375434
177;63;3103;0.00029104065496314926
178;63;3121;-0.0031108432596434477
179;63;3122;0.0028198026046802977
180;64;3104;0.0008182495157518384
181;64;3122;-0.0007354261344601309
182;64;3123;-8.282338129170748e-05
183;65;3105;-0.002516726894480226
184;65;3123;-0.0002676609356935917
185;65;3124;0.002784387830173817
186;66;3106;0.00017687029436090046
187;66;3124;-0.003580504463503273
188;66;3125;0.003403634169142373
189;67;3107;0.0003920061235544636
190;67;3125;-0.00037165051268464404
191;67;3126;-2.0355610869819563e-05
192;68;3108;-0.003558287033483651
193;68;3126;-0.00018477034378942435
194;68;3127;0.0037430573772730758
195;69;3127;-0.004132630919151765
196;69;3128;0.004132630919151765
197;70;3129;-0.001323990760464219
198;70;3130;0.001323990760464219
199;71;3109;0.0016417341533505954
200;71;3130;-0.001263112945543789
201;71;3131;-0.0003786212078068066
202;72;3110;-0.00010339679241458637
203;72;3131;-2.3845650251877394e-05
204;72;3132;0.00012724244266646372
205;73;3111;0.00030304845894304556
206;73;3132;-0.0020509159065228524
207;73;3133;0.0017478674475798059
208;74;3112;0.0019617068986961038
209;74;3133;-0.001508715287553148
210;74;3134;-0.00045299161114295577
211;75;3113;-0.00033698057844021594
212;75;3134;-8.726729143994541e-05
213;75;3135;0.0004242478698801614
214;76;3114;0.00042424786988016203
215;76;3135;-0.00248553468367919
216;76;3136;0.002061286813799028
217;77;3115;0.0019140703539465682
218;77;3136;-0.0015021946677173238
219;77;3137;-0.00041187568622924457
220;78;3116;-0.0007324387973674726
221;78;3137;-0.00018176700528927954
222;78;3138;0.0009142058026567522
223;79;3117;0.00046246391048409196
224;79;3138;-0.0028288262281162867
225;79;3139;0.002366362317632195
226;80;3118;0.0016272753999995344
227;80;3139;-0.0013214105205212301
228;80;3140;-0.0003058648794783045
229;81;3119;-0.0013128014596160752
230;81;3140;-0.0002819438657018462
231;81;3141;0.001594745325317921
232;82;3120;0.00043679326190931963
233;82;3141;-0.003187871088741329
234;82;3142;0.0027510778268320093
235;83;3121;0.001221967919605904
236;83;3142;-0.001039714814519888
237;83;3143;-0.0001822531050860161
238;84;3122;-0.002084376470220169
239;84;3143;-0.0003429657217383454
240;84;3144;0.002427342191958514
241;85;3123;0.0003504843169852993
242;85;3144;-0.0036241781256340635
