energy;conductance_lead;conductance_junction
-0.054;1.0;0.345
-0.0538;1.0;0.347
-0.0536;1.0;0.348
-0.0534;1.0;0.35
-0.0532;1.0;0.351
-0.053;1.0;0.352
-0.0528;1.0;0.354
-0.0526;1.0;0.355
-0.0524;1.0;0.357
-0.0522;1.0;0.358
-0.052;1.0;0.359
-0.0518;1.0;0.361
-0.0516;1.0;0.362
-0.0514;1.0;0.364
-0.0512;1.0;0.365
-0.051;1.0;0.366
-0.0508;1.0;0.368
-0.0506;1.0;0.369
-0.0504;1.0;0.37
-0.0502;1.0;0.372
-0.05;1.0;0.373
-0.0498;1.0;0.374
-0.0496;1.0;0.375
-0.0494;1.0;0.377
-0.0492;1.0;0.378
-0.049;1.0;0.379
-0.0488;1.0;0.381
-0.0486;1.0;0.382
-0.0484;1.0;0.383
-0.0482;1.0;0.384
-0.048;1.0;0.386
-0.0478;1.0;0.387
-0.0476;1.0;0.388
-0.0474;1.0;0.389
-0.0472;1.0;0.39
-0.047;1.0;0.392
-0.0468;1.0;0.393
-0.0466;1.0;0.394
-0.0464;1.0;0.395
-0.0462;1.0;0.396
-0.046;1.0;0.398
-0.0458;1.0;0.399
-0.0456;1.0;0.4
-0.0454;1.0;0.401
-0.0452;1.0;0.402
-0.045;1.0;0.403
-0.0448;1.0;0.404
-0.0446;1.0;0.406
-0.0444;1.0;0.407
-0.0442;1.0;0.408
-0.044;1.0;0.409
-0.0438;1.0;0.41
-0.0436;1.0;0.411
-0.0434;1.0;0.412
-0.0432;1.0;0.413
-0.043;1.0;0.414
-0.0428;1.0;0.415
-0.0426;1.0;0.417
-0.0424;1.0;0.418
-0.0422;1.0;0.419
-0.042;1.0;0.42
-0.0418;1.0;0.421
-0.0416;1.0;0.422
-0.0414;1.0;0.423
-0.0412;1.0;0.424
-0.041;1.0;0.425
-0.0408;1.0;0.426
-0.0406;1.0;0.427
-0.0404;1.0;0.428
-0.0402;1.0;0.429
-0.04;1.0;0.43
-0.0398;1.0;0.431
-0.0396;1.0;0.432
-0.0394;1.0;0.433
-0.0392;1.0;0.434
-0.039;1.0;0.435
-0.0388;1.0;0.436
-0.0386;1.0;0.437
-0.0384;1.0;0.438
-0.0382;1.0;0.439
-0.038;1.0;0.44
-0.0378;1.0;0.441
-0.0376;1.0;0.442
-0.0374;1.0;0.443
-0.0372;1.0;0.444
-0.037;1.0;0.445
-0.0368;1.0;0.446
-0.0366;1.0;0.447
-0.0364;1.0;0.448
-0.0362;1.0;0.449
-0.036;1.0;0.45
-0.0358;1.0;0.451
-0.0356;1.0;0.452
-0.0354;1.0;0.453
-0.0352;1.0;0.454
-0.035;1.0;0.455
-0.0348;1.0;0.456
-0.0346;1.0;0.457
-0.0344;1.0;0.457
-0.0342;1.0;0.458
-0.034;1.0;0.459
-0.0338;1.0;0.46
-0.0336;1.0;0.461
-0.0334;1.0;0.462
-0.0332;1.0;0.463
-0.033;1.0;0.464
-0.0328;1.0;0.465
-0.0326;1.0;0.466
-0.0324;1.0;0.467
-0.0322;1.0;0.468
-0.032;1.0;0.469
-0.0318;1.0;0.47
-0.0316;1.0;0.471
-0.0314;1.0;0.472
-0.0312;1.0;0.473
-0.031;1.0;0.474
-0.0308;1.0;0.475
-0.0306;1.0;0.476
-0.0304;1.0;0.477
-0.0302;1.0;0.478
-0.03;1.0;0.479
-0.0298;1.0;0.48
-0.0296;1.0;0.481
-0.0294;1.0;0.482
-0.0292;1.0;0.483
