vertex_index;vertex_x;vertex_y;ldos
0;101.0;-58.88972745734183;1.7849034313415897e-05
1;99.5;-59.75575286112627;9.593655229160966e-05
2;98.0;-60.6217782649107;8.447978850749385e-05
3;101.0;-57.157676649772945;1.784903431341592e-05
4;99.5;-58.023702053557386;3.102388498492212e-05
5;98.0;-58.88972745734182;3.641300630694046e-07
6;96.5;-59.75575286112626;8.447978850749378e-05
7;95.0;-60.6217782649107;0.00010038629184053482
8;101.0;-55.42562584220408;1.7849034313415968e-05
9;99.5;-56.29165124598852;1.8092863050663216e-06
10;98.0;-57.15767664977295;3.811013649771784e-05
11;96.5;-58.02370205355739;7.375128484951684e-05
12;95.0;-58.889727457341834;6.855959992254637e-07
13;93.5;-59.75575286112627;0.00010038629184053473
14;92.0;-60.62177826491071;0.0001312721432672794
15;101.0;-53.693575034635195;1.7849034313416025e-05
16;99.5;-54.559600438419636;8.292756252042347e-06
17;98.0;-55.42562584220407;5.6526908831624237e-05
18;96.5;-56.29165124598851;5.829887688663947e-06
19;95.0;-57.15767664977295;6.0215265493155345e-05
20;93.5;-58.023702053557386;0.00011766398717202682
21;92.0;-58.88972745734183;2.0681593158146685e-06
22;90.5;-59.75575286112627;0.00013127214326727927
23;89.0;-60.6217782649107;0.00017364353972038057
24;99.5;-52.827549630850754;5.047429482585049e-05
25;98.0;-53.69357503463519;2.151775396546866e-05
26;96.5;-54.55960043841963;2.6050018647515392e-05
27;95.0;-55.42562584220407;0.00010351771567589907
28;93.5;-56.291651245988504;9.532369990784942e-06
29;92.0;-57.157676649772945;8.853292398434142e-05
30;90.5;-58.023702053557386;0.00016629431332565347
31;89.0;-58.88972745734182;2.9583374991866385e-06
32;87.5;-59.75575286112626;0.00017364353972038036
33;86.0;-60.6217782649107;0.00022616139054647095
34;99.5;-51.095498823281886;5.0474294825850594e-05
35;98.0;-51.96152422706632;6.08018468042699e-06
36;96.5;-52.82754963085076;9.491913551007963e-05
37;95.0;-53.6935750346352;2.5709399584109833e-05
38;93.5;-54.559600438419636;5.022432132040489e-05
39;92.0;-55.42562584220408;0.00015616619199864345
40;90.5;-56.29165124598852;1.2154438663848183e-05
41;89.0;-57.15767664977295;0.00012489254699210426
42;87.5;-58.02370205355739;0.00022193161117185518
43;86.0;-58.889727457341834;3.464347421376972e-06
44;84.5;-59.75575286112627;0.00022616139054647066
45;83.0;-60.62177826491071;0.00028820305946215927
46;98.0;-50.22947341949744;9.159120504708658e-05
47;96.5;-51.09549882328188;5.295243169155149e-05
48;95.0;-51.96152422706632;2.1829466616659632e-05
49;93.5;-52.827549630850754;0.00014780129761799584
50;92.0;-53.693575034635195;2.9265235548495177e-05
51;90.5;-54.559600438419636;8.118596702019014e-05
52;89.0;-55.42562584220407;0.00021496999386244595
53;87.5;-56.29165124598851;1.3852062172032058e-05
54;86.0;-57.15767664977295;0.00016993973423977442
55;84.5;-58.023702053557386;0.0002856079362153153
56;83.0;-58.88972745734183;3.7553835489396646e-06
57;81.5;-59.75575286112627;0.00028820305946215883
58;80.0;-60.6217782649107;0.0003594470260007396
59;98.0;-48.497422611928556;9.159120504708672e-05
60;96.5;-49.363448015713;5.260083814357179e-06
61;95.0;-50.22947341949744;0.0001427796435614672
62;93.5;-51.09549882328187;5.6027533783210894e-05
63;92.0;-51.96152422706631;4.553038164663105e-05
64;90.5;-52.827549630850754;0.00020793815447668653
65;89.0;-53.69357503463519;3.193978551067291e-05
66;87.5;-54.55960043841963;0.00011968402013307547
67;86.0;-55.42562584220407;0.00028082819709089114
68;84.5;-56.291651245988504;1.4929301445348538e-05
69;83.0;-57.157676649772945;0.00022386317182214376
