vertex_index;vertex_x;vertex_y;ldos
0;110.0;-65.81793068761732;7.843209543886938e-06
1;111.5;-63.219854476264025;1.8524950535066294e-05
2;110.0;-64.08587988004845;7.843209543886953e-06
3;108.5;-64.95190528383289;7.843209543886922e-06
4;107.0;-65.81793068761733;2.5455316281982164e-05
5;111.5;-61.48780366869514;1.852495053506631e-05
6;110.0;-62.35382907247958;2.2604792417872034e-06
7;108.5;-63.21985447626402;3.1372838175547764e-05
8;107.0;-64.08587988004845;5.038916514662924e-06
9;105.5;-64.95190528383289;2.545531628198212e-05
10;104.0;-65.81793068761733;4.99918230398264e-05
11;110.0;-60.62177826491071;3.3727650009820075e-05
12;108.5;-61.48780366869515;1.6790793918550754e-05
13;107.0;-62.353829072479584;1.1265374243345955e-05
14;105.5;-63.219854476264025;5.3145256049403245e-05
15;104.0;-64.08587988004847;4.101286828712295e-06
16;102.5;-64.95190528383289;4.9991823039826345e-05
17;101.0;-65.81793068761733;8.104015377315543e-05
18;110.0;-58.88972745734183;3.372765000982012e-05
19;108.5;-59.75575286112627;2.9237374717954183e-06
20;107.0;-60.6217782649107;5.556286388023931e-05
21;105.5;-61.48780366869514;1.547388750555617e-05
22;104.0;-62.353829072479584;2.7719339241877943e-05
23;102.5;-63.21985447626402;8.273090345509526e-05
24;101.0;-64.08587988004845;3.7316229007023305e-06
25;99.5;-64.95190528383289;8.104015377315531e-05
26;98.0;-65.81793068761733;0.00011861477796472205
27;108.5;-58.023702053557386;5.651198104468032e-05
28;107.0;-58.88972745734182;3.299533012701158e-05
29;105.5;-59.75575286112626;1.239296210954377e-05
30;104.0;-60.6217782649107;8.461428115975773e-05
31;102.5;-61.487803668695136;1.4674546851757105e-05
32;101.0;-62.35382907247958;5.1321636558933954e-05
33;99.5;-63.21985447626402;0.00011955173030788908
34;98.0;-64.08587988004845;3.5676058238372463e-06
35;96.5;-64.95190528383289;0.00011861477796472189
36;95.0;-65.81793068761733;0.00016278246066530656
37;108.5;-56.29165124598852;5.651198104468039e-05
38;107.0;-57.15767664977295;3.1445536728568344e-06
39;105.5;-58.02370205355739;8.583133248112373e-05
40;104.0;-58.889727457341834;3.2242389209737404e-05
41;102.5;-59.75575286112627;2.8813974816730114e-05
42;101.0;-60.62177826491071;0.0001208823113554797
43;99.5;-61.48780366869515;1.4213347042323228e-05
44;98.0;-62.353829072479584;8.18149320422713e-05
45;96.5;-63.219854476264025;0.00016332461380396326
46;95.0;-64.08587988004847;3.4878618298462715e-06
47;93.5;-64.95190528383289;0.00016278246066530632
48;92.0;-65.81793068761733;0.00021359928545566225
49;107.0;-55.42562584220407;8.631773930806287e-05
50;105.5;-56.29165124598851;5.611854409472619e-05
51;104.0;-57.15767664977295;1.2861417690867497e-05
52;102.5;-58.023702053557386;0.00012201639653041512
53;101.0;-58.88972745734183;3.166070043324859e-05
54;99.5;-59.75575286112627;5.2194699595781685e-05
55;98.0;-60.6217782649107;0.00016422986329965215
56;96.5;-61.48780366869514;1.394791815006168e-05
57;95.0;-62.353829072479584;0.00011907763777460105
58;93.5;-63.21985447626402;0.00021392586702558345
59;92.0;-64.08587988004845;3.446270292648525e-06
60;90.5;-64.95190528383289;0.000213599285455662
61;89.0;-65.81793068761733;0.0002711066111290439
62;107.0;-53.69357503463519;8.631773930806299e-05
63;105.5;-54.55960043841963;3.2382107219274744e-06
64;104.0;-55.42562584220407;0.00012271129476014927
65;102.5;-56.291651245988504;5.564893461511425e-05
66;101.0;-57.157676649772945;2.9369018730687275e-05
67;99.5;-58.023702053557386;0.00016515781692066884
68;98.0;-58.88972745734182;3.1255144474554985e-05
69;96.5;-59.75575286112626;8.24560035493975e-05
70;95.0;-60.6217782649107;0.00021453347321329989
71;93.5;-61.487803668695136;1.379331132704438e-05
72;92.0;-62.35382907247958;0.0001630675754340089
73;90.5;-63.21985447626402;0.00027130865083131516
74;89.0;-64.08587988004845;3.423532812793766e-06
75;87.5;-64.95190528383289;0.0002711066111290436
76;86.0;-65.81793068761733;0.00033533555058951157
77;105.5;-52.82754963085076;0.00012299335596525473
78;104.0;-53.6935750346352;8.60814716507519e-05
79;102.5;-54.559600438419636;1.3087693016150793e-05
80;101.0;-55.42562584220408;0.00016587225695554358
81;99.5;-56.29165124598852;5.523544297165698e-05
82;98.0;-57.15767664977295;5.2718404379899004e-05
83;96.5;-58.02370205355739;0.0002152429027360786
84;95.0;-58.889727457341834;3.0985169814554795e-05
85;93.5;-59.75575286112627;0.00011953106796835442
86;92.0;-60.62177826491071;0.0002717132317042879
87;90.5;-61.48780366869515;1.3702272304137403e-05
88;89.0;-62.353829072479584;0.00021377862530611453
89;87.5;-63.219854476264025;0.00033546100242801315
90;86.0;-64.08587988004847;3.4108699553020335e-06
91;84.5;-64.95190528383289;0.000335335550589511
92;83.0;-65.81793068761733;0.0004063107006553858
93;105.5;-51.09549882328188;0.00012299335596525492
94;104.0;-51.96152422706632;3.2841661684675447e-06
95;102.5;-52.827549630850754;0.00016629912445665778
96;101.0;-53.693575034635195;8.57744322357236e-05
97;99.5;-54.559600438419636;2.9670738087038027e-05
98;98.0;-55.42562584220407;0.00021587834723332824
99;96.5;-56.29165124598851;5.4914247654047046e-05
100;95.0;-57.15767664977295;8.289604393829903e-05
101;93.5;-58.023702053557386;0.00027223214371331026
102;92.0;-58.88972745734183;3.081026816758895e-05
103;90.5;-59.75575286112627;0.00016338126800148584
104;89.0;-60.6217782649107;0.0003357260441388336
105;87.5;-61.48780366869514;1.3648769175575463e-05
106;86.0;-62.353829072479584;0.00027121941184100467
107;84.5;-63.21985447626402;0.00040638622996058324
108;83.0;-64.08587988004845;3.4039535819038617e-06
109;81.5;-64.95190528383289;0.00040631070065538544
110;80.0;-65.81793068761733;0.0004840520761976633
111;104.0;-50.22947341949744;0.000166473572616693
112;102.5;-51.09549882328187;0.00012284341649665452
113;101.0;-51.96152422706631;1.3207795382245016e-05
114;99.5;-52.827549630850754;0.00021634097228558975
115;98.0;-53.69357503463519;8.548322513247085e-05
116;96.5;-54.55960043841963;5.303312186158602e-05
117;95.0;-55.42562584220407;0.0002727498912118579
118;93.5;-56.291651245988504;5.46820677121041e-05
119;92.0;-57.157676649772945;0.00011987532584582896
120;90.5;-58.023702053557386;0.0003360903829675809
121;89.0;-58.88972745734182;3.070002444071326e-05
122;87.5;-59.75575286112626;0.0002139902162188749
123;86.0;-60.6217782649107;0.0004065532030719381
124;84.5;-61.487803668695136;1.3618189299079764e-05
125;83.0;-62.35382907247958;0.0003354041670310285
126;81.5;-63.21985447626402;0.0004840937578850683
