vertex_index;vertex_x;vertex_y;ldos
0;69.5;-42.4352447854375;0.00026454330410853735
1;68.0;-43.30127018922193;0.0037576100388445137
2;66.5;-44.16729559300637;0.019875382233884086
3;65.0;-45.03332099679081;0.05466344589816677
4;63.5;-45.89934640057525;0.0845269382916103
5;62.0;-46.76537180435969;0.06976141631754264
6;60.5;-47.63139720814413;0.02220220211106817
7;71.0;-39.837168574084174;8.698840227859423e-06
8;69.5;-40.703193977868615;0.00026454330410853735
9;68.0;-41.56921938165305;0.002028111643060758
10;66.5;-42.43524478543749;0.006349018677757476
11;65.0;-43.30127018922193;0.008615937374824268
12;63.5;-44.167295593006365;0.0032413684781343365
13;62.0;-45.033320996790806;0.0007081614564125367
14;60.5;-45.89934640057525;0.013252575629358037
15;59.0;-46.76537180435968;0.022202202111068166
16;57.5;-47.63139720814412;0.009953560136665443
17;71.0;-38.105117766515306;8.69884022785947e-06
18;69.5;-38.97114317029975;0.00017730007982264594
19;68.0;-39.83716857408418;0.0008276998554940775
20;66.5;-40.70319397786862;0.0012003570340632017
21;65.0;-41.56921938165306;0.00017269492466110524
22;63.5;-42.4352447854375;0.0012880243605704156
23;62.0;-43.30127018922194;0.006979653511066677
24;60.5;-44.16729559300638;0.007833759606163369
25;59.0;-45.03332099679081;0.0011481391633097594
26;57.5;-45.899346400575254;0.0024242332672780313
27;56.0;-46.765371804359695;0.009953560136665443
28;54.5;-47.63139720814413;0.005949847165373425
29;71.0;-36.373066958946424;8.698840227859645e-06
30;69.5;-37.239092362730865;0.00010745453599247339
31;68.0;-38.1051177665153;0.00023883741874914223
32;66.5;-38.97114317029974;3.453202777560453e-05
33;65.0;-39.83716857408418;0.00046245749890375186
34;63.5;-40.703193977868615;0.0024039801609395625
35;62.0;-41.569219381653056;0.0022710242212768492
36;60.5;-42.4352447854375;2.4643359064160635e-05
37;59.0;-43.30127018922193;0.0029838170095134635
38;57.5;-44.16729559300637;0.006909051711046307
39;56.0;-45.03332099679081;0.0025533846968187873
40;54.5;-45.89934640057525;0.0005122200100184357
41;53.0;-46.76537180435969;0.0059498471653734245
42;51.5;-47.63139720814413;0.004380096182487663
43;71.0;-34.64101615137754;8.69884022786007e-06
44;69.5;-35.50704155516198;5.5006672618019334e-05
45;68.0;-36.37306695894642;2.589118065185717e-05
46;66.5;-37.23909236273086;9.173750684343358e-05
47;65.0;-38.1051177665153;0.0007497312541181069
48;63.5;-38.97114317029973;0.0007576572989310179
