edge_index;vertex_1_index;vertex_2_index;probabilitycurrent
0;0;1775;-2.524691337059416e-06
1;0;1776;2.5246913370594125e-06
2;1;1776;-2.8994608151736415e-06
3;1;1777;2.899460815173645e-06
4;2;1778;-1.010734869851416e-06
5;2;1779;1.010734869851416e-06
6;3;1779;-2.519512177972828e-06
7;3;1780;2.5195121779728163e-06
8;4;1780;-4.4444533313011005e-06
9;4;1781;4.444453306588687e-06
10;5;1781;-6.456838876033756e-06
11;5;1782;6.456838876033756e-06
12;6;1782;-7.932562774983819e-06
13;6;1783;7.932562774983825e-06
14;7;1783;-8.015727767080537e-06
15;7;1784;8.015727767080544e-06
16;8;1775;2.524691337059416e-06
17;8;1784;-5.836820394513757e-06
18;8;1785;3.312129057454346e-06
19;9;1776;3.7476947811422856e-07
20;9;1785;-4.913368572261163e-07
21;9;1786;1.1656737911188735e-07
22;10;1777;-2.899460815173645e-06
23;10;1786;9.040394334741525e-07
24;10;1787;1.995421381699489e-06
25;11;1787;-4.679889591754617e-06
26;11;1788;4.679889591754624e-06
27;12;1788;-7.188966853449556e-06
28;12;1789;7.188966883557369e-06
29;13;1789;-8.797158701614801e-06
30;13;1790;8.797158701614798e-06
31;14;1790;-8.893477311325438e-06
32;14;1791;8.893477439974957e-06
33;15;1791;-7.22228882237342e-06
34;15;1792;7.222288822373413e-06
35;16;1792;-4.024453881005853e-06
36;16;1793;4.02445388100586e-06
37;17;1794;-6.016379534566251e-07
38;17;1795;6.016379534566255e-07
39;18;1795;-1.779441203433735e-06
40;18;1796;1.7794412034337375e-06
41;19;1796;-3.737778453073495e-06
42;19;1797;3.737778453073478e-06
43;20;1778;1.010734869851416e-06
44;20;1797;-6.503832511228458e-06
45;20;1798;5.493097641377046e-06
46;21;1779;1.5087773081214113e-06
47;21;1798;-8.199232777899408e-06
48;21;1799;6.690455469778008e-06
49;22;1780;1.9249411533282927e-06
50;22;1799;-8.53513425742728e-06
51;22;1800;6.610193104098988e-06
52;23;1781;2.0123855694450634e-06
53;23;1800;-6.909697354482524e-06
54;23;1801;4.8973117850374604e-06
55;24;1782;1.475723898950068e-06
56;24;1801;-3.5904762214755715e-06
57;24;1802;2.1147523225255027e-06
58;25;1783;8.316499209672361e-08
59;25;1802;-1.1781789491458184e-07
