energy;conductance_lead;conductance_junction
-0.1;1.0;0.846
-0.0998;1.0;0.841
-0.0996;1.0;0.836
-0.0994;1.0;0.83
-0.0992;1.0;0.825
-0.099;1.0;0.819
-0.0988;1.0;0.814
-0.0986;1.0;0.808
-0.0984;1.0;0.802
-0.0982;1.0;0.797
-0.098;1.0;0.791
-0.0978;1.0;0.785
-0.0976;1.0;0.778
-0.0974;1.0;0.772
-0.0972;1.0;0.766
-0.097;1.0;0.759
-0.0968;1.0;0.753
-0.0966;1.0;0.746
-0.0964;1.0;0.74
-0.0962;1.0;0.733
-0.096;1.0;0.726
-0.0958;1.0;0.719
-0.0956;1.0;0.712
-0.0954;1.0;0.705
-0.0952;1.0;0.697
-0.095;1.0;0.69
-0.0948;1.0;0.683
-0.0946;1.0;0.675
-0.0944;1.0;0.668
-0.0942;1.0;0.66
-0.094;1.0;0.652
-0.0938;1.0;0.645
-0.0936;1.0;0.637
-0.0934;1.0;0.629
-0.0932;1.0;0.621
-0.093;1.0;0.613
-0.0928;1.0;0.605
-0.0926;1.0;0.597
-0.0924;1.0;0.589
-0.0922;1.0;0.58
-0.092;1.0;0.572
-0.0918;1.0;0.564
-0.0916;1.0;0.556
-0.0914;1.0;0.547
-0.0912;1.0;0.539
-0.091;1.0;0.53
-0.0908;1.0;0.522
-0.0906;1.0;0.514
-0.0904;1.0;0.505
-0.0902;1.0;0.497
-0.09;1.0;0.488
-0.0898;1.0;0.48
-0.0896;1.0;0.471
-0.0894;1.0;0.463
-0.0892;1.0;0.454
-0.089;1.0;0.446
-0.0888;1.0;0.437
-0.0886;1.0;0.429
-0.0884;1.0;0.42
-0.0882;1.0;0.412
-0.088;1.0;0.404
-0.0878;1.0;0.395
-0.0876;1.0;0.387
-0.0874;1.0;0.379
-0.0872;1.0;0.371
-0.087;1.0;0.363
-0.0868;1.0;0.354
-0.0866;1.0;0.346
-0.0864;1.0;0.338
-0.0862;1.0;0.33
-0.086;1.0;0.323
-0.0858;1.0;0.315
-0.0856;1.0;0.307
-0.0854;1.0;0.299
-0.0852;1.0;0.292
-0.085;1.0;0.284
-0.0848;1.0;0.277
-0.0846;1.0;0.27
-0.0844;1.0;0.262
-0.0842;1.0;0.255
-0.084;1.0;0.248
-0.0838;1.0;0.241
-0.0836;1.0;0.234
-0.0834;1.0;0.227
-0.0832;1.0;0.221
-0.083;1.0;0.214
-0.0828;1.0;0.207
-0.0826;1.0;0.201
-0.0824;1.0;0.195
-0.0822;1.0;0.189
-0.082;1.0;0.182
-0.0818;1.0;0.176
-0.0816;1.0;0.171
-0.0814;1.0;0.165
-0.0812;1.0;0.159
-0.081;1.0;0.153
-0.0808;1.0;0.148
-0.0806;1.0;0.143
-0.0804;1.0;0.137
-0.0802;1.0;0.132
-0.08;1.0;0.127
-0.0798;1.0;0.122
-0.0796;1.0;0.118
-0.0794;1.0;0.113
