edge_index;vertex_1_index;vertex_2_index;probabilitycurrent
0;0;1342;-0.005191297271945835
1;0;1343;0.005191297271945835
2;1;1344;-0.008775928761602025
3;1;1345;0.008775928761602025
4;2;1342;0.005191297271945835
5;2;1345;-0.005178611370786135
6;2;1346;-1.2685901159700103e-05
7;3;1343;-0.005191297271945835
8;3;1346;-1.26859011597001e-05
9;3;1347;0.005203983173105534
10;4;1347;-0.008744145954360728
11;4;1348;0.008744145954360728
12;5;1349;-0.011536448457484243
13;5;1350;0.011536448457484243
14;6;1344;0.008775928761602025
15;6;1350;-0.008742829702016654
16;6;1351;-3.309905958537104e-05
17;7;1345;-0.0035973173908158905
18;7;1351;-1.3567546626753963e-05
19;7;1352;0.0036108849374426447
20;8;1346;2.5371802319400206e-05
21;8;1352;-0.010396285767489504
22;8;1353;0.010370913965170106
23;9;1347;0.003540162781255193
24;9;1353;-0.003527559794662537
25;9;1354;-1.2602986592655844e-05
26;10;1348;-0.008744145954360728
27;10;1354;-3.112917711313856e-05
28;10;1355;0.008775275131473867
29;11;1355;-0.011453409390951188
30;11;1356;0.011453409390951188
31;12;1357;-0.013820729585962543
32;12;1358;0.013820729585962543
33;13;1349;0.011536448457484243
34;13;1358;-0.011479854623899695
35;13;1359;-5.6593833584547104e-05
36;14;1350;-0.002793618755467589
37;14;1359;-1.3704529216964887e-05
38;14;1360;0.002807323284684555
39;15;1351;4.666660621212499e-05
40;15;1360;-0.012387049490146995
41;15;1361;0.012340382883934872
42;16;1352;0.00678540083004686
43;16;1361;-0.006741951082189723
44;16;1362;-4.344974785713528e-05
45;17;1353;-0.0068433541705075675
46;17;1362;-4.392805223961478e-05
47;17;1363;0.006887282222747181
48;18;1354;4.37321637057944e-05
49;18;1363;-0.01231914983784033
50;18;1364;0.012275417674134531
51;19;1355;0.00267813425947732
52;19;1364;-0.002666702429929631
53;19;1365;-1.1431829547688743e-05
54;20;1356;-0.011453409390951188
55;20;1365;-4.8889790881061066e-05
56;20;1366;0.011502299181832248
57;21;1366;-0.013669004619271076
58;21;1367;0.013669004619271074
59;22;1368;-0.015796635760943416
60;22;1369;0.015796635760943416
61;23;1357;0.013820729585962543
62;23;1369;-0.013737728701073707
63;23;1370;-8.30008848888348e-05
64;24;1358;-0.0023408749620628467
65;24;1370;-1.4058208147178809e-05
66;24;1371;0.002354933170210025
67;25;1359;7.029836280151197e-05
68;25;1371;-0.014345406401012673
69;25;1372;0.014275108038211156
70;26;1360;0.009579726205462446
71;26;1372;-0.009496399646250295
72;26;1373;-8.332655921215107e-05
73;27;1361;-0.005598431801745149
74;27;1373;-4.888053856041561e-05
75;27;1374;0.005647312340305565
76;28;1362;8.737780009675006e-05
77;28;1374;-0.01367649650929224
78;28;1375;0.013589118709195488
79;29;1363;0.005431867615093148
80;29;1375;-0.005388072496968193
81;29;1376;-4.379511812495492e-05
82;30;1364;-0.0096087152442049
83;30;1376;-7.774747761649879e-05
84;30;1377;0.009686462721821392
85;31;1365;6.0321620428749806e-05
86;31;1377;-0.014185077211677027
87;31;1378;0.014124755591248275
88;32;1366;0.002166705437438827
89;32;1378;-0.002156459644871154
90;32;1379;-1.0245792567672808e-05
91;33;1367;-0.013669004619271074
92;33;1379;-6.46372061082562e-05
93;33;1380;0.013733641825379332
94;34;1380;-0.01556081223421217
95;34;1381;0.015560812234212167
96;35;1382;-0.017551187439488324
97;35;1383;0.017551187439488324
98;36;1368;0.015796635760943416
99;36;1383;-0.01568389474283469
100;36;1384;-0.00011274101810872315
101;37;1369;-0.0020589070598697077
102;37;1384;-1.4694475560097715e-05
103;37;1385;0.002073601535429806
104;38;1370;9.705909303601354e-05
105;38;1385;-0.016179198551854925
