edge_index;vertex_1_index;vertex_2_index;current
0;0;2654;-1.7875943074894164e-10
1;0;2655;1.7875943074894164e-10
2;1;2655;-3.326622489408986e-09
3;1;2656;3.326622489408888e-09
4;2;2656;-3.1516903695328846e-08
5;2;2657;3.151690369532884e-08
6;3;2657;-2.0223695151281645e-07
7;3;2658;2.0223695161440842e-07
8;4;2658;-9.866226113998853e-07
9;4;2659;9.86622611399885e-07
10;5;2659;-3.894835335895457e-06
11;5;2660;3.894835335895457e-06
12;6;2660;-1.293117574722284e-05
13;6;2661;1.293117574722284e-05
14;7;2661;-3.705469490322057e-05
15;7;2662;3.705469490256045e-05
16;8;2662;-9.333225445432546e-05
17;8;2663;9.333225445432546e-05
18;9;2663;-0.00020939099285377342
19;9;2664;0.0002093909928537734
20;10;2664;-0.00042252477833597707
21;10;2665;0.000422524778335977
22;11;2665;-0.0007723341610235098
23;11;2666;0.0007723341610216558
24;12;2666;-0.0012852847300964649
25;12;2667;0.0012852847300964649
26;13;2667;-0.001953605651556164
27;13;2668;0.001953605651556164
28;14;2668;-0.002716385642285311
29;14;2669;0.002716385642285311
30;15;2669;-0.0034544864752986083
31;15;2670;0.0034544864752761063
32;16;2670;-0.004009257660420279
33;16;2671;0.004009257660420278
34;17;2671;-0.004226220303421332
35;17;2672;0.004226220303421332
36;18;2672;-0.0040114413861977935
37;18;2673;0.0040114413861977935
38;19;2673;-0.0033771635275970623
39;19;2674;0.003377163527597063
40;20;2674;-0.0024523400976081
41;20;2675;0.0024523400976159473
42;21;2675;-0.0014466646203602283
43;21;2676;0.0014466646203602274
44;22;2676;-0.000578890296174379
45;22;2677;0.000578890296174379
46;23;2654;1.7875943074894164e-10
47;23;2678;-3.3266224907154686e-09
48;23;2679;3.1478630599665272e-09
49;24;2655;3.1478630586600442e-09
50;24;2679;-5.543016809857783e-08
51;24;2680;5.228230503991779e-08
52;25;2656;2.819028120591996e-08
53;25;2680;-4.681945354135198e-07
54;25;2681;4.4000425420759983e-07
55;26;2657;1.707200478174876e-07
56;26;2681;-2.6646052799144077e-06
57;26;2682;2.4938852320969202e-06
58;27;2658;7.843856597854768e-07
59;27;2682;-1.1458146450726184e-05
60;27;2683;1.067376079094071e-05
61;28;2659;2.9082127244955722e-06
62;28;2683;-3.9573829256415836e-05
63;28;2684;3.666561653192026e-05
64;29;2660;9.036340411327381e-06
65;29;2684;-0.00011392536038104341
66;29;2685;0.00010488901996971604
67;30;2661;2.412351915599773e-05
68;30;2685;-0.00028001015510904635
69;30;2686;0.00025588663595304867
70;31;2662;5.627755955176502e-05
71;31;2686;-0.0005969505668170227
72;31;2687;0.0005406730072652577
73;32;2663;0.00011605873839944794
74;32;2687;-0.0011149973461912841
75;32;2688;0.0009989386077918362
76;33;2664;0.00021313378548220367
77;33;2688;-0.0018344679571947408
78;33;2689;0.0016213341717125373
79;34;2665;0.00034980938268753273
80;34;2689;-0.002661024495302834
81;34;2690;0.002311215112615301
82;35;2666;0.0005129505690748092
83;35;2690;-0.0033890808357457634
84;35;2691;0.0028761302666709537
85;36;2667;0.0006683209214596992
86;36;2691;-0.0037472782037041986
87;36;2692;0.003078957282244499
88;37;2668;0.0007627799907291468
89;37;2692;-0.0035141159516305105
90;37;2693;0.0027513359609013643
91;38;2669;0.0007381008330132979
92;38;2693;-0.0026623084686063217
93;38;2694;0.0019242076355930238
94;39;2670;0.0005547711851441719
95;39;2694;-0.0014462635643660345
96;39;2695;0.0008914923792218626
97;40;2671;0.000216962643001053
98;40;2695;-0.0003486339827818652
99;40;2696;0.00013167133978081227
100;41;2672;-0.00021477891722353806
101;41;2696;0.00013039517143881925
102;41;2697;8.438374578471883e-05
103;42;2673;-0.0006342778586007311
104;42;2697;-0.00024924844302449587
105;42;2698;0.0008835263016252269
106;43;2674;-0.0009248234299889633
107;43;2698;-0.0012882614573372809
108;43;2699;0.002213084887326276
109;44;2675;-0.0010056754772557192
110;44;2699;-0.0024065729080164386
111;44;2700;0.003412248385272158
112;45;2676;-0.0008677743241858485
113;45;2700;-0.0029443588883682295
114;45;2701;0.003812133212554079
115;46;2677;-0.000578890296174379
116;46;2701;-0.002543070145581476
117;46;2702;0.003121960441755855
118;47;2702;-0.001365675046974724
119;47;2703;0.001365675046974724
120;48;2678;3.3266224907154686e-09
121;48;2704;-3.1516903710123865e-08
122;48;2705;2.8190281219408397e-08
123;49;2679;5.22823050386113e-08
124;49;2705;-4.6819453543206187e-07
125;49;2706;4.159122303934505e-07
126;50;2680;4.159122303736022e-07
127;50;2706;-3.507776205214753e-06
128;50;2707;3.091863974841152e-06
129;51;2681;2.224601025706817e-06
130;51;2707;-1.7596824417090058e-05
131;51;2708;1.5372223391383206e-05
132;52;2682;8.964261218629246e-06
133;52;2708;-6.618368730192719e-05
134;52;2709;5.721942608329794e-05
135;53;2683;2.8900068465475125e-05
136;53;2709;-0.00019802555938120566
137;53;2710;0.00016912549091573054
138;54;2684;7.725974384912315e-05
139;54;2710;-0.00048798866405283005
140;54;2711;0.0004107289202037069
141;55;2685;0.00017512113513933034
142;55;2711;-0.0010111804687312962
143;55;2712;0.0008360593335919657
144;56;2686;0.0003410639308639741
145;56;2712;-0.0017817985571428954
146;56;2713;0.0014407346262811458
147;57;2687;0.0005743243389260268
148;57;2713;-0.0026785977465465316
149;57;2714;0.002104273407620505
150;58;2688;0.0008355293494029048
151;58;2714;-0.0034169632956770196
152;58;2715;0.0025814339462791654
153;59;2689;0.0010396903235902967
154;59;2715;-0.0036344581507941087
155;59;2716;0.002594767827203812
156;60;2690;0.0010778657231304614
157;60;2716;-0.003097179821437578
158;60;2717;0.0020193140983071163
159;61;2691;0.0008711479370332438
160;61;2717;-0.0019231033101718246
161;61;2718;0.001051955373138581
162;62;2692;0.00043515866938601206
163;62;2718;-0.000639524606129439
164;62;2719;0.00020436593674342689
165;63;2693;-8.902749229504307e-05
166;63;2719;5.343228752610148e-05
167;63;2720;3.559520476894164e-05
168;64;2694;-0.0004779440712269895
169;64;2720;-0.0002645496876468133
170;64;2721;0.0007424937588788878
171;65;2695;-0.0005428583964399972
172;65;2721;-0.0013681536827289172
173;65;2722;0.001911012079169245
174;66;2696;-0.000262066511219632
175;66;2722;-0.0024424104994988805
176;66;2723;0.0027044770107185123
177;67;2697;0.00016486469723977704
178;67;2723;-0.002627802622947402
179;67;2724;0.0024629379257076253
180;68;2698;0.00040473515571205353
181;68;2724;-0.0017058466297096447
